customer_id,first_name,last_name,date_of_birth,gender,email,phone,marital_status,occupation,income_bracket,customer_status,registration_date,last_updated
CUST000001,FirstName1,LastName1,1988-12-30,M,customer1@email.com,+14101337034,DIVORCED,SALARIED,LOW,ACTIVE,2021-01-24,2026-01-22 02:04:41
CUST000002,FirstName2,LastName2,1989-05-22,O,customer2@email.com,+13882731732,MARRIED,SALARIED,HIGH,INACTIVE,2024-07-03,2026-01-22 02:04:41
CUST000003,FirstName3,LastName3,1993-02-02,O,customer3@email.com,+19390802014,WIDOWED,BUSINESS,HIGH,SUSPENDED,2024-08-03,2026-01-22 02:04:41
CUST000004,FirstName4,LastName4,1977-01-16,F,customer4@email.com,+13790987623,SINGLE,BUSINESS,LOW,ACTIVE,2022-05-31,2026-01-22 02:04:41
CUST000005,FirstName5,LastName5,1978-08-17,F,customer5@email.com,+16366390807,WIDOWED,RETIRED,MEDIUM,SUSPENDED,2022-09-24,2026-01-22 02:04:41
CUST000006,FirstName6,LastName6,1971-03-26,M,customer6@email.com,+16763593284,DIVORCED,SALARIED,MEDIUM,SUSPENDED,2023-02-23,2026-01-22 02:04:41
CUST000007,FirstName7,LastName7,1964-05-22,F,customer7@email.com,+12050388186,MARRIED,PROFESSIONAL,HIGH,INACTIVE,2023-05-11,2026-01-22 02:04:41
CUST000008,FirstName8,LastName8,1969-01-21,O,customer8@email.com,+15070221054,MARRIED,SALARIED,LOW,INACTIVE,2024-08-20,2026-01-22 02:04:41
CUST000009,FirstName9,LastName9,1982-02-02,O,customer9@email.com,+15217571030,WIDOWED,SALARIED,MEDIUM,INACTIVE,2021-10-24,2026-01-22 02:04:41
CUST000010,FirstName10,LastName10,1983-03-14,M,customer10@email.com,+18280424659,DIVORCED,SALARIED,MEDIUM,SUSPENDED,2025-12-22,2026-01-22 02:04:41
CUST000011,FirstName11,LastName11,1991-11-19,M,customer11@email.com,+15240958206,DIVORCED,SALARIED,MEDIUM,SUSPENDED,2023-01-06,2026-01-22 02:04:41
CUST000012,FirstName12,LastName12,1998-03-02,O,customer12@email.com,+12212700363,DIVORCED,PROFESSIONAL,MEDIUM,INACTIVE,2025-12-01,2026-01-22 02:04:41
CUST000013,FirstName13,LastName13,2006-01-15,F,customer13@email.com,+12956399053,SINGLE,SELF_EMPLOYED,MEDIUM,INACTIVE,2021-12-01,2026-01-22 02:04:41
CUST000014,FirstName14,LastName14,1991-05-05,O,customer14@email.com,+18264374491,DIVORCED,BUSINESS,VERY_HIGH,ACTIVE,2021-02-26,2026-01-22 02:04:41
CUST000015,FirstName15,LastName15,1975-08-29,F,customer15@email.com,+12267141887,SINGLE,SELF_EMPLOYED,VERY_HIGH,ACTIVE,2021-03-04,2026-01-22 02:04:41
CUST000016,FirstName16,LastName16,1962-06-07,F,customer16@email.com,+12249131407,WIDOWED,BUSINESS,HIGH,INACTIVE,2021-04-21,2026-01-22 02:04:41
CUST000017,FirstName17,LastName17,1976-05-29,M,customer17@email.com,+16130065547,MARRIED,PROFESSIONAL,MEDIUM,SUSPENDED,2025-12-03,2026-01-22 02:04:41
CUST000018,FirstName18,LastName18,1988-09-03,O,customer18@email.com,+18517581325,MARRIED,PROFESSIONAL,HIGH,ACTIVE,2023-07-07,2026-01-22 02:04:41
CUST000019,FirstName19,LastName19,1972-04-27,M,customer19@email.com,+19360821427,DIVORCED,SALARIED,VERY_HIGH,ACTIVE,2024-07-23,2026-01-22 02:04:41
CUST000020,FirstName20,LastName20,1987-10-09,F,customer20@email.com,+17458983244,SINGLE,RETIRED,MEDIUM,INACTIVE,2025-03-01,2026-01-22 02:04:41
CUST000021,FirstName21,LastName21,1986-01-26,M,customer21@email.com,+13737034840,WIDOWED,PROFESSIONAL,HIGH,SUSPENDED,2022-06-06,2026-01-22 02:04:41
CUST000022,FirstName22,LastName22,1979-07-23,O,customer22@email.com,+18650240155,WIDOWED,RETIRED,VERY_HIGH,INACTIVE,2025-10-15,2026-01-22 02:04:41
CUST000023,FirstName23,LastName23,1960-02-19,F,customer23@email.com,+17721089999,DIVORCED,SALARIED,VERY_HIGH,INACTIVE,2021-04-03,2026-01-22 02:04:41
CUST000024,FirstName24,LastName24,1960-11-26,O,customer24@email.com,+15631125959,MARRIED,SALARIED,MEDIUM,SUSPENDED,2024-02-04,2026-01-22 02:04:41
CUST000025,FirstName25,LastName25,1965-10-31,O,customer25@email.com,+13139582883,MARRIED,BUSINESS,MEDIUM,SUSPENDED,2021-03-24,2026-01-22 02:04:41
CUST000026,FirstName26,LastName26,1973-08-06,M,customer26@email.com,+12799891474,DIVORCED,PROFESSIONAL,MEDIUM,INACTIVE,2025-08-20,2026-01-22 02:04:41
CUST000027,FirstName27,LastName27,1969-06-15,M,customer27@email.com,+12082789435,SINGLE,SALARIED,LOW,SUSPENDED,2022-12-03,2026-01-22 02:04:41
