address_id,customer_id,address_type,address_line1,address_line2,city,state,zip_code,country,is_primary
ADDR000001,CUST000001,RESIDENTIAL,437 Main Street,Apt 126,Los Angeles,AZ,39596,USA,True
ADDR000002,CUST000002,RESIDENTIAL,802 Main Street,Apt 244,Chicago,CA,38529,USA,True
ADDR000003,CUST000003,OFFICE,700 Main Street,Apt 383,Phoenix,CA,69874,USA,True
ADDR000004,CUST000004,RESIDENTIAL,310 Main Street,Apt 420,Los Angeles,NY,51683,USA,True
ADDR000005,CUST000005,OFFICE,851 Main Street,,Los Angeles,PA,56955,USA,True
ADDR000006,CUST000006,PERMANENT,176 Main Street,,Philadelphia,TX,27037,USA,True
ADDR000007,CUST000007,OFFICE,375 Main Street,,Phoenix,IL,33278,USA,True
ADDR000008,CUST000008,OFFICE,106 Main Street,,Los Angeles,IL,17112,USA,True
ADDR000009,CUST000009,PERMANENT,931 Main Street,,Philadelphia,AZ,56798,USA,True
ADDR000010,CUST000010,PERMANENT,476 Main Street,,Houston,AZ,62725,USA,True
ADDR000011,CUST000011,PERMANENT,519 Main Street,,Philadelphia,AZ,47604,USA,True
ADDR000012,CUST000012,OFFICE,443 Main Street,,Los Angeles,PA,85331,USA,True
ADDR000013,CUST000013,PERMANENT,817 Main Street,Apt 59,Houston,IL,70668,USA,True
ADDR000014,CUST000014,PERMANENT,987 Main Street,,Philadelphia,AZ,63862,USA,True
ADDR000015,CUST000015,OFFICE,461 Main Street,,Philadelphia,NY,50256,USA,True
ADDR000016,CUST000016,OFFICE,884 Main Street,,Philadelphia,PA,34796,USA,True
ADDR000017,CUST000017,OFFICE,22 Main Street,,Los Angeles,IL,56865,USA,True
ADDR000018,CUST000018,RESIDENTIAL,924 Main Street,Apt 464,Philadelphia,TX,30883,USA,True
ADDR000019,CUST000019,RESIDENTIAL,18 Main Street,,Phoenix,NY,36422,USA,True
ADDR000020,CUST000020,RESIDENTIAL,603 Main Street,Apt 119,Phoenix,PA,52284,USA,True
ADDR000021,CUST000021,OFFICE,155 Main Street,,Chicago,CA,41094,USA,True
ADDR000022,CUST000022,OFFICE,342 Main Street,,New York,AZ,67519,USA,True
ADDR000023,CUST000023,PERMANENT,52 Main Street,,Phoenix,TX,73336,USA,True
ADDR000024,CUST000024,RESIDENTIAL,949 Main Street,,Philadelphia,NY,27815,USA,True
ADDR000025,CUST000025,OFFICE,692 Main Street,Apt 216,New York,NY,76530,USA,True
ADDR000026,CUST000026,OFFICE,725 Main Street,Apt 418,Los Angeles,IL,78101,USA,True
ADDR000027,CUST000027,OFFICE,269 Main Street,Apt 348,Philadelphia,TX,16479,USA,True
ADDR000028,CUST000028,RESIDENTIAL,432 Main Street,,Phoenix,AZ,49131,USA,True
ADDR000029,CUST000029,PERMANENT,585 Main Street,Apt 493,Los Angeles,PA,51770,USA,True
ADDR000030,CUST000030,PERMANENT,609 Main Street,Apt 117,Phoenix,PA,32578,USA,True
ADDR000031,CUST000031,PERMANENT,729 Main Street,,New York,IL,63514,USA,True
ADDR000032,CUST000032,PERMANENT,683 Main Street,,Chicago,PA,12357,USA,True
ADDR000033,CUST000033,PERMANENT,174 Main Street,,Phoenix,PA,85114,USA,True
ADDR000034,CUST000034,PERMANENT,595 Main Street,,Houston,AZ,94608,USA,True
ADDR000035,CUST000035,OFFICE,926 Main Street,Apt 394,Los Angeles,AZ,80351,USA,True
ADDR000036,CUST000036,RESIDENTIAL,285 Main Street,Apt 406,Houston,PA,73133,USA,True
ADDR000037,CUST000037,RESIDENTIAL,274 Main Street,,Los Angeles,CA,17277,USA,True
ADDR000038,CUST000038,RESIDENTIAL,610 Main Street,,Houston,NY,85774,USA,True
ADDR000039,CUST000039,RESIDENTIAL,27 Main Street,,Philadelphia,CA,18369,USA,True
ADDR000040,CUST000040,RESIDENTIAL,325 Main Street,,Philadelphia,TX,39826,USA,True
ADDR000041,CUST000041,OFFICE,182 Main Street,,Philadelphia,AZ,77409,USA,True
ADDR000042,CUST000042,OFFICE,58 Main Street,,Phoenix,NY,43448,USA,True
ADDR000043,CUST000043,OFFICE,169 Main Street,,Philadelphia,AZ,32343,USA,True
ADDR000044,CUST000044,OFFICE,569 Main Street,Apt 226,Chicago,AZ,16947,USA,True
ADDR000045,CUST000045,RESIDENTIAL,653 Main Street,Apt 328,Los Angeles,AZ,42318,USA,True
ADDR000046,CUST000046,PERMANENT,589 Main Street,Apt 45,Houston,AZ,72906,USA,True
ADDR000047,CUST000047,RESIDENTIAL,539 Main Street,,Houston,TX,35082,USA,True
ADDR000048,CUST000048,RESIDENTIAL,212 Main Street,,Phoenix,NY,14093,USA,True
ADDR000049,CUST000049,PERMANENT,172 Main Street,,Chicago,TX,72163,USA,True
ADDR000050,CUST000050,RESIDENTIAL,208 Main Street,,New York,CA,19461,USA,True
ADDR000051,CUST000051,PERMANENT,333 Main Street,Apt 371,New York,CA,68267,USA,True
ADDR000052,CUST000052,OFFICE,682 Main Street,,Phoenix,NY,30471,USA,True
ADDR000053,CUST000053,PERMANENT,721 Main Street,,Los Angeles,TX,88919,USA,True
ADDR000054,CUST000054,RESIDENTIAL,683 Main Street,,Philadelphia,TX,68066,USA,True
ADDR000055,CUST000055,PERMANENT,954 Main Street,Apt 390,Chicago,IL,31645,USA,True
ADDR000056,CUST000056,PERMANENT,33 Main Street,Apt 487,Chicago,PA,84175,USA,True
ADDR000057,CUST000057,OFFICE,293 Main Street,,Chicago,TX,85519,USA,True
ADDR000058,CUST000058,RESIDENTIAL,578 Main Street,,Chicago,PA,13234,USA,True
ADDR000059,CUST000059,PERMANENT,277 Main Street,Apt 337,Houston,TX,52168,USA,True
ADDR000060,CUST000060,PERMANENT,244 Main Street,Apt 380,Los Angeles,TX,13978,USA,True
ADDR000061,CUST000061,OFFICE,552 Main Street,Apt 299,Los Angeles,NY,70896,USA,True
ADDR000062,CUST000062,OFFICE,456 Main Street,,Philadelphia,TX,74211,USA,True
ADDR000063,CUST000063,PERMANENT,533 Main Street,,Phoenix,TX,58587,USA,True
ADDR000064,CUST000064,OFFICE,712 Main Street,,Houston,NY,64475,USA,True
ADDR000065,CUST000065,PERMANENT,867 Main Street,Apt 495,Phoenix,NY,45017,USA,True
ADDR000066,CUST000066,RESIDENTIAL,84 Main Street,,New York,CA,61272,USA,True
ADDR000067,CUST000067,OFFICE,875 Main Street,,Los Angeles,TX,73228,USA,True
ADDR000068,CUST000068,OFFICE,737 Main Street,Apt 14,Philadelphia,IL,20447,USA,True
ADDR000069,CUST000069,RESIDENTIAL,810 Main Street,Apt 422,New York,NY,42880,USA,True
ADDR000070,CUST000070,OFFICE,215 Main Street,,New York,NY,61777,USA,True
ADDR000071,CUST000071,RESIDENTIAL,394 Main Street,Apt 204,New York,TX,59633,USA,True
ADDR000072,CUST000072,PERMANENT,477 Main Street,Apt 114,Houston,CA,89051,USA,True
ADDR000073,CUST000073,RESIDENTIAL,308 Main Street,Apt 58,Philadelphia,PA,47110,USA,True
ADDR000074,CUST000074,OFFICE,145 Main Street,Apt 137,Chicago,CA,78477,USA,True
ADDR000075,CUST000075,RESIDENTIAL,121 Main Street,Apt 265,Phoenix,NY,80893,USA,True
ADDR000076,CUST000076,RESIDENTIAL,882 Main Street,Apt 297,Philadelphia,CA,60533,USA,True
ADDR000077,CUST000077,RESIDENTIAL,479 Main Street,,Los Angeles,AZ,86525,USA,True
ADDR000078,CUST000078,PERMANENT,622 Main Street,,Phoenix,IL,66139,USA,True
ADDR000079,CUST000079,OFFICE,144 Main Street,,Phoenix,TX,96895,USA,True
ADDR000080,CUST000080,PERMANENT,169 Main Street,,Houston,IL,26150,USA,True
ADDR000081,CUST000081,OFFICE,632 Main Street,,Chicago,CA,76505,USA,True
ADDR000082,CUST000082,PERMANENT,648 Main Street,,Phoenix,CA,36742,USA,True
ADDR000083,CUST000083,RESIDENTIAL,151 Main Street,,Los Angeles,IL,29571,USA,True
ADDR000084,CUST000084,PERMANENT,209 Main Street,Apt 365,Phoenix,PA,45807,USA,True
ADDR000085,CUST000085,OFFICE,774 Main Street,,Chicago,NY,12487,USA,True
ADDR000086,CUST000086,PERMANENT,872 Main Street,,Houston,PA,87729,USA,True
ADDR000087,CUST000087,PERMANENT,820 Main Street,,Philadelphia,PA,87338,USA,True
ADDR000088,CUST000088,PERMANENT,518 Main Street,,Philadelphia,NY,60843,USA,True
ADDR000089,CUST000089,RESIDENTIAL,241 Main Street,,Philadelphia,PA,45511,USA,True
ADDR000090,CUST000090,RESIDENTIAL,881 Main Street,Apt 138,New York,PA,92211,USA,True
ADDR000091,CUST000091,RESIDENTIAL,166 Main Street,,Houston,CA,78845,USA,True
ADDR000092,CUST000092,PERMANENT,360 Main Street,Apt 21,Philadelphia,CA,60801,USA,True
ADDR000093,CUST000093,RESIDENTIAL,894 Main Street,,Houston,AZ,58629,USA,True
ADDR000094,CUST000094,OFFICE,251 Main Street,Apt 429,Phoenix,NY,50170,USA,True
ADDR000095,CUST000095,OFFICE,747 Main Street,Apt 52,Phoenix,TX,13798,USA,True
ADDR000096,CUST000096,OFFICE,285 Main Street,Apt 85,Phoenix,AZ,77374,USA,True
ADDR000097,CUST000097,PERMANENT,463 Main Street,,Houston,TX,92829,USA,True
ADDR000098,CUST000098,OFFICE,871 Main Street,Apt 103,Houston,PA,68270,USA,True
ADDR000099,CUST000099,PERMANENT,286 Main Street,Apt 176,Phoenix,CA,85419,USA,True
ADDR000100,CUST000100,OFFICE,492 Main Street,,Houston,IL,20376,USA,True
ADDR000101,CUST000101,OFFICE,574 Main Street,,Phoenix,PA,91075,USA,True
ADDR000102,CUST000102,OFFICE,333 Main Street,,Chicago,AZ,23801,USA,True
ADDR000103,CUST000103,PERMANENT,808 Main Street,Apt 310,Phoenix,IL,62174,USA,True
ADDR000104,CUST000104,PERMANENT,753 Main Street,Apt 45,Phoenix,NY,39912,USA,True
ADDR000105,CUST000105,RESIDENTIAL,849 Main Street,Apt 473,Houston,TX,64322,USA,True
ADDR000106,CUST000106,RESIDENTIAL,419 Main Street,Apt 28,Houston,PA,48377,USA,True
ADDR000107,CUST000107,PERMANENT,99 Main Street,Apt 188,Phoenix,NY,23701,USA,True
ADDR000108,CUST000108,OFFICE,565 Main Street,,Houston,TX,97926,USA,True
ADDR000109,CUST000109,RESIDENTIAL,366 Main Street,,Phoenix,CA,97093,USA,True
ADDR000110,CUST000110,PERMANENT,279 Main Street,,Los Angeles,NY,25069,USA,True
ADDR000111,CUST000111,RESIDENTIAL,90 Main Street,Apt 356,New York,IL,31710,USA,True
ADDR000112,CUST000112,RESIDENTIAL,949 Main Street,Apt 173,Chicago,PA,42860,USA,True
ADDR000113,CUST000113,PERMANENT,483 Main Street,,Los Angeles,PA,43618,USA,True
ADDR000114,CUST000114,RESIDENTIAL,11 Main Street,Apt 46,Philadelphia,TX,66290,USA,True
ADDR000115,CUST000115,PERMANENT,744 Main Street,Apt 430,Phoenix,AZ,86580,USA,True
ADDR000116,CUST000116,RESIDENTIAL,976 Main Street,Apt 430,Houston,TX,68250,USA,True
ADDR000117,CUST000117,OFFICE,652 Main Street,Apt 430,Phoenix,PA,93677,USA,True
ADDR000118,CUST000118,OFFICE,285 Main Street,,Phoenix,AZ,87253,USA,True
ADDR000119,CUST000119,PERMANENT,929 Main Street,,New York,CA,66188,USA,True
ADDR000120,CUST000120,PERMANENT,762 Main Street,,Los Angeles,CA,44111,USA,True
ADDR000121,CUST000121,OFFICE,382 Main Street,Apt 352,Chicago,IL,49131,USA,True
ADDR000122,CUST000122,RESIDENTIAL,418 Main Street,Apt 172,Houston,IL,50015,USA,True
ADDR000123,CUST000123,OFFICE,801 Main Street,Apt 481,Chicago,NY,82081,USA,True
ADDR000124,CUST000124,PERMANENT,672 Main Street,Apt 262,Chicago,NY,92416,USA,True
ADDR000125,CUST000125,OFFICE,108 Main Street,Apt 28,New York,NY,90736,USA,True
ADDR000126,CUST000126,RESIDENTIAL,575 Main Street,,Houston,TX,56585,USA,True
ADDR000127,CUST000127,RESIDENTIAL,503 Main Street,,Phoenix,AZ,51140,USA,True
ADDR000128,CUST000128,RESIDENTIAL,305 Main Street,Apt 372,Philadelphia,AZ,30614,USA,True
ADDR000129,CUST000129,RESIDENTIAL,71 Main Street,,Chicago,IL,81210,USA,True
ADDR000130,CUST000130,OFFICE,272 Main Street,,Phoenix,NY,90323,USA,True
ADDR000131,CUST000131,RESIDENTIAL,874 Main Street,Apt 447,Philadelphia,PA,24760,USA,True
ADDR000132,CUST000132,OFFICE,135 Main Street,,New York,AZ,32220,USA,True
ADDR000133,CUST000133,PERMANENT,114 Main Street,Apt 311,Los Angeles,TX,19997,USA,True
ADDR000134,CUST000134,OFFICE,166 Main Street,,Chicago,TX,11210,USA,True
ADDR000135,CUST000135,RESIDENTIAL,834 Main Street,,Philadelphia,AZ,31843,USA,True
ADDR000136,CUST000136,OFFICE,838 Main Street,Apt 478,Houston,AZ,72877,USA,True
ADDR000137,CUST000137,PERMANENT,38 Main Street,,New York,NY,73570,USA,True
ADDR000138,CUST000138,RESIDENTIAL,673 Main Street,Apt 5,Chicago,PA,12666,USA,True
ADDR000139,CUST000139,RESIDENTIAL,577 Main Street,Apt 296,Philadelphia,IL,93616,USA,True
ADDR000140,CUST000140,PERMANENT,424 Main Street,Apt 368,Phoenix,PA,96899,USA,True
ADDR000141,CUST000141,OFFICE,541 Main Street,Apt 111,Houston,IL,44459,USA,True
ADDR000142,CUST000142,PERMANENT,810 Main Street,Apt 450,Houston,AZ,51653,USA,True
ADDR000143,CUST000143,PERMANENT,451 Main Street,,Phoenix,IL,24248,USA,True
ADDR000144,CUST000144,RESIDENTIAL,177 Main Street,,Phoenix,AZ,13979,USA,True
ADDR000145,CUST000145,OFFICE,588 Main Street,Apt 118,Chicago,CA,63631,USA,True
