account_number,customer_id,account_type,branch_code,currency,opening_date,account_status,opening_balance,current_balance,available_balance,interest_rate,minimum_balance,overdraft_limit
ACC000000000001,CUST000743,SAVINGS,BR0055,USD,2023-04-08,ACTIVE,13282.0,10828.88,57248.52,3.36,500.0,0.0
ACC000000000002,CUST000110,RECURRING_DEPOSIT,BR0032,USD,2021-03-10,ACTIVE,39153.54,2834.48,75671.04,6.89,0.0,0.0
ACC000000000003,CUST000080,RECURRING_DEPOSIT,BR0058,USD,2025-09-03,ACTIVE,19733.35,12530.38,9392.53,5.09,500.0,7738.95
ACC000000000004,CUST000723,RECURRING_DEPOSIT,BR0070,USD,2024-05-09,CLOSED,44890.17,928.06,23240.29,7.46,500.0,0.0
ACC000000000005,CUST000259,SALARY,BR0058,USD,2025-06-30,DORMANT,14727.29,71918.31,67813.74,6.03,0.0,0.0
ACC000000000006,CUST000028,SALARY,BR0007,USD,2024-08-19,ACTIVE,31934.21,49185.33,54829.71,1.51,500.0,3027.32
ACC000000000007,CUST000685,SAVINGS,BR0046,USD,2024-08-24,DORMANT,49741.07,23203.3,98889.51,3.13,500.0,0.0
ACC000000000008,CUST000867,RECURRING_DEPOSIT,BR0014,USD,2023-01-14,DORMANT,11187.57,25772.26,21446.87,6.37,500.0,0.0
ACC000000000009,CUST000806,RECURRING_DEPOSIT,BR0019,USD,2024-07-31,CLOSED,47706.16,10429.2,5491.77,1.74,500.0,0.0
ACC000000000010,CUST000309,SAVINGS,BR0033,USD,2022-05-09,ACTIVE,9609.17,56478.94,94417.6,2.86,500.0,0.0
ACC000000000011,CUST000781,FIXED_DEPOSIT,BR0086,USD,2021-09-11,DORMANT,4424.8,82860.57,87498.75,6.19,500.0,0.0
ACC000000000012,CUST000195,FIXED_DEPOSIT,BR0055,USD,2021-11-06,ACTIVE,7249.67,12971.17,67385.64,3.49,500.0,1256.63
ACC000000000013,CUST000067,RECURRING_DEPOSIT,BR0099,USD,2025-10-19,ACTIVE,13958.67,23025.85,43597.93,5.74,500.0,5125.89
ACC000000000014,CUST000136,SALARY,BR0015,USD,2022-09-01,ACTIVE,11735.66,48055.27,95164.48,6.6,500.0,0.0
ACC000000000015,CUST000254,SALARY,BR0034,USD,2025-09-21,ACTIVE,43488.11,27560.59,29562.68,1.81,500.0,0.0
ACC000000000016,CUST000883,SAVINGS,BR0031,USD,2022-07-30,DORMANT,36210.99,9440.85,60839.31,7.44,500.0,0.0
ACC000000000017,CUST000916,FIXED_DEPOSIT,BR0041,USD,2023-11-10,CLOSED,6716.66,60640.94,40081.68,1.51,500.0,0.0
ACC000000000018,CUST000948,FIXED_DEPOSIT,BR0025,USD,2023-04-23,ACTIVE,48125.27,88205.46,87219.92,2.65,500.0,0.0
ACC000000000019,CUST000939,FIXED_DEPOSIT,BR0056,USD,2024-12-23,ACTIVE,44524.44,47010.46,73063.52,0.82,500.0,0.0
ACC000000000020,CUST000734,SAVINGS,BR0015,USD,2022-11-25,ACTIVE,42542.19,1924.72,1705.44,5.06,500.0,0.0
ACC000000000021,CUST000228,SAVINGS,BR0079,USD,2023-11-03,ACTIVE,32356.02,37120.44,6874.35,6.34,0.0,6713.9
ACC000000000022,CUST000019,SALARY,BR0056,USD,2023-05-03,ACTIVE,1786.94,80764.44,17560.86,6.79,0.0,0.0
ACC000000000023,CUST000356,SAVINGS,BR0001,USD,2023-09-30,DORMANT,3509.97,94906.88,43771.17,1.4,500.0,0.0
ACC000000000024,CUST000301,FIXED_DEPOSIT,BR0052,USD,2025-06-22,ACTIVE,28345.82,59915.92,68279.82,3.74,500.0,0.0
ACC000000000025,CUST000051,SALARY,BR0037,USD,2025-01-16,ACTIVE,21879.63,38054.9,52421.92,0.58,500.0,0.0
ACC000000000026,CUST000390,SAVINGS,BR0100,USD,2024-03-09,DORMANT,3797.76,69186.4,89471.01,4.49,500.0,0.0
ACC000000000027,CUST000973,FIXED_DEPOSIT,BR0041,USD,2022-09-16,ACTIVE,27113.34,56565.25,17339.49,4.1,500.0,6025.47
ACC000000000028,CUST000685,SALARY,BR0008,USD,2025-09-28,ACTIVE,4876.82,82937.45,16279.4,4.94,0.0,0.0
ACC000000000029,CUST000528,FIXED_DEPOSIT,BR0030,USD,2021-10-16,ACTIVE,5389.06,69117.23,19611.37,4.4,500.0,0.0
ACC000000000030,CUST000216,SAVINGS,BR0087,USD,2022-04-10,ACTIVE,14057.86,95333.36,97361.53,6.14,0.0,2167.49
ACC000000000031,CUST000129,RECURRING_DEPOSIT,BR0030,USD,2023-07-29,ACTIVE,20138.47,92482.29,10700.66,6.13,500.0,0.0
ACC000000000032,CUST000565,CURRENT,BR0069,USD,2024-07-25,INACTIVE,24858.37,48831.01,63341.88,0.95,500.0,0.0
ACC000000000033,CUST000656,SALARY,BR0004,USD,2025-09-23,INACTIVE,11593.79,16338.18,21958.48,3.68,0.0,0.0
ACC000000000034,CUST000775,RECURRING_DEPOSIT,BR0016,USD,2022-11-04,ACTIVE,15110.26,33801.7,75265.71,2.39,0.0,0.0
ACC000000000035,CUST000469,CURRENT,BR0057,USD,2023-09-03,CLOSED,49929.48,20529.84,14234.99,0.57,500.0,0.0
ACC000000000036,CUST000399,FIXED_DEPOSIT,BR0049,USD,2022-08-07,ACTIVE,21413.64,77024.38,34721.81,5.88,500.0,0.0
ACC000000000037,CUST000156,FIXED_DEPOSIT,BR0081,USD,2023-03-26,ACTIVE,25592.33,84777.26,14265.53,4.37,500.0,0.0
ACC000000000038,CUST000065,SALARY,BR0009,USD,2025-01-20,DORMANT,49574.79,38278.68,399.7,4.79,500.0,0.0
ACC000000000039,CUST000149,SALARY,BR0035,USD,2025-05-31,ACTIVE,6874.56,23150.35,57895.11,2.11,500.0,0.0
ACC000000000040,CUST000654,SALARY,BR0080,USD,2022-09-09,ACTIVE,23624.97,48126.33,90953.53,6.01,500.0,63.85
ACC000000000041,CUST000872,SALARY,BR0062,USD,2025-01-01,ACTIVE,33576.79,98167.6,46991.29,5.62,0.0,0.0
ACC000000000042,CUST000482,FIXED_DEPOSIT,BR0068,USD,2023-12-17,ACTIVE,31374.13,37782.82,48404.24,2.08,0.0,0.0
ACC000000000043,CUST000184,CURRENT,BR0095,USD,2021-05-24,ACTIVE,5321.4,49626.34,77069.34,5.04,500.0,0.0
ACC000000000044,CUST000469,CURRENT,BR0038,USD,2023-11-30,INACTIVE,39672.96,4071.08,15261.9,5.51,500.0,4159.3
ACC000000000045,CUST000041,SAVINGS,BR0045,USD,2025-10-18,ACTIVE,37570.7,49884.25,42334.58,2.26,500.0,0.0
ACC000000000046,CUST000526,SALARY,BR0010,USD,2025-01-30,ACTIVE,1440.63,85634.21,84886.5,5.94,500.0,0.0
ACC000000000047,CUST000186,SAVINGS,BR0050,USD,2024-10-13,DORMANT,31291.84,29546.07,44352.04,5.63,0.0,0.0
ACC000000000048,CUST000404,SALARY,BR0084,USD,2024-05-13,CLOSED,3448.55,74762.08,21005.08,2.99,500.0,0.0
ACC000000000049,CUST000800,RECURRING_DEPOSIT,BR0096,USD,2025-04-30,CLOSED,2936.3,55980.66,37677.4,6.82,0.0,0.0
ACC000000000050,CUST000648,SAVINGS,BR0100,USD,2025-11-05,DORMANT,28899.83,72115.13,48235.63,5.84,0.0,0.0
ACC000000000051,CUST000098,RECURRING_DEPOSIT,BR0035,USD,2024-12-19,CLOSED,11132.39,70956.77,99652.67,4.45,0.0,0.0
ACC000000000052,CUST000660,SAVINGS,BR0009,USD,2022-10-15,DORMANT,49611.37,62932.73,67165.54,3.75,500.0,0.0
ACC000000000053,CUST000803,CURRENT,BR0016,USD,2021-10-25,ACTIVE,13651.9,48344.24,95127.65,4.02,500.0,0.0
ACC000000000054,CUST000341,FIXED_DEPOSIT,BR0068,USD,2023-02-03,ACTIVE,12342.62,14176.8,3471.87,4.5,500.0,0.0
ACC000000000055,CUST000769,CURRENT,BR0086,USD,2023-07-05,DORMANT,1869.18,83243.81,75222.33,2.33,0.0,3461.42
ACC000000000056,CUST000813,SALARY,BR0097,USD,2021-08-11,ACTIVE,34359.68,39536.42,81835.11,5.99,0.0,0.0
ACC000000000057,CUST000950,FIXED_DEPOSIT,BR0064,USD,2025-03-08,ACTIVE,11792.08,90489.1,7793.75,2.35,500.0,7420.82
ACC000000000058,CUST000460,CURRENT,BR0067,USD,2024-04-21,CLOSED,48147.3,80712.44,60858.86,4.39,500.0,2565.96
ACC000000000059,CUST000054,SALARY,BR0084,USD,2024-12-29,ACTIVE,17308.67,29333.46,19400.9,3.04,500.0,0.0
ACC000000000060,CUST000656,RECURRING_DEPOSIT,BR0097,USD,2022-02-28,CLOSED,6817.82,75485.81,6861.19,1.3,500.0,0.0
ACC000000000061,CUST000100,SALARY,BR0075,USD,2024-05-10,CLOSED,43422.38,11779.09,21110.3,7.45,500.0,0.0
ACC000000000062,CUST000098,SALARY,BR0090,USD,2025-10-30,DORMANT,49135.26,16224.38,79006.43,0.59,500.0,0.0
ACC000000000063,CUST000709,SALARY,BR0095,USD,2025-04-14,ACTIVE,38971.31,61019.07,65061.5,6.28,500.0,6101.6
ACC000000000064,CUST000263,RECURRING_DEPOSIT,BR0014,USD,2023-12-02,ACTIVE,16459.1,35596.47,78136.93,5.27,500.0,0.0
ACC000000000065,CUST000654,SAVINGS,BR0061,USD,2024-07-01,ACTIVE,10508.54,43076.26,58131.27,4.05,500.0,0.0
ACC000000000066,CUST000971,RECURRING_DEPOSIT,BR0024,USD,2022-03-08,CLOSED,20597.85,7728.71,51499.48,7.11,0.0,0.0
ACC000000000067,CUST000668,CURRENT,BR0084,USD,2023-11-05,ACTIVE,4166.37,50699.64,37924.91,2.51,500.0,0.0
ACC000000000068,CUST000777,CURRENT,BR0086,USD,2024-05-16,DORMANT,12062.38,21912.66,12227.76,7.13,500.0,0.0
ACC000000000069,CUST000395,FIXED_DEPOSIT,BR0096,USD,2024-09-09,ACTIVE,9654.03,47205.75,17447.88,3.98,500.0,0.0
ACC000000000070,CUST000241,CURRENT,BR0045,USD,2022-12-18,CLOSED,39040.63,52621.56,56978.43,2.88,500.0,0.0
ACC000000000071,CUST000499,FIXED_DEPOSIT,BR0030,USD,2024-06-28,ACTIVE,37646.96,2032.14,36339.43,7.34,500.0,0.0
ACC000000000072,CUST000298,CURRENT,BR0079,USD,2022-04-12,ACTIVE,7545.72,70806.37,32173.79,5.74,500.0,9506.98
ACC000000000073,CUST000196,FIXED_DEPOSIT,BR0007,USD,2021-04-18,DORMANT,43609.66,60814.94,25735.68,1.4,500.0,4940.81
ACC000000000074,CUST000410,FIXED_DEPOSIT,BR0080,USD,2022-05-21,CLOSED,10553.98,4524.73,85937.88,4.97,500.0,0.0
ACC000000000075,CUST000475,SAVINGS,BR0002,USD,2025-06-14,ACTIVE,22722.78,91989.22,61317.26,4.32,0.0,0.0
ACC000000000076,CUST000660,SALARY,BR0098,USD,2022-09-26,ACTIVE,4574.33,58085.34,98115.8,7.16,500.0,0.0
ACC000000000077,CUST000664,FIXED_DEPOSIT,BR0070,USD,2021-02-01,ACTIVE,6664.43,64454.8,64721.9,6.86,500.0,0.0
ACC000000000078,CUST000420,SALARY,BR0083,USD,2022-05-26,DORMANT,19002.98,78733.38,90869.94,0.71,500.0,0.0
ACC000000000079,CUST000161,SALARY,BR0074,USD,2023-01-01,CLOSED,13292.72,1412.23,46878.63,7.32,500.0,2882.63
ACC000000000080,CUST000075,CURRENT,BR0085,USD,2021-07-04,ACTIVE,6818.51,55440.02,15113.94,4.73,500.0,0.0
ACC000000000081,CUST000882,CURRENT,BR0045,USD,2023-09-30,ACTIVE,9900.88,21554.22,59573.91,5.06,500.0,6465.8
ACC000000000082,CUST000628,SAVINGS,BR0014,USD,2022-07-25,ACTIVE,37904.88,92353.4,77600.44,1.12,500.0,0.0
ACC000000000083,CUST000781,CURRENT,BR0088,USD,2024-01-17,ACTIVE,39989.96,13578.52,80149.37,1.63,500.0,0.0
