transaction_id,account_number,transaction_date,transaction_type,amount,debit_credit,balance_after,channel,remarks,status
TXN000000000001,ACC000000001188,2025-12-05 02:04:41,PAYMENT,4605.89,CR,46330.73,ONLINE,Transaction 1,SUCCESS
TXN000000000002,ACC000000000117,2026-01-17 02:04:41,INTEREST_CREDIT,696.7,CR,10035.77,POS,Transaction 2,PENDING
TXN000000000003,ACC000000000182,2026-01-14 02:04:41,INTEREST_CREDIT,190.1,DR,31573.05,MOBILE,Transaction 3,SUCCESS
TXN000000000004,ACC000000000779,2025-10-23 02:04:41,PAYMENT,8038.56,DR,46432.5,MOBILE,Transaction 4,SUCCESS
TXN000000000005,ACC000000001425,2025-08-01 02:04:41,WITHDRAWAL,9226.96,DR,16601.2,ONLINE,Transaction 5,SUCCESS
TXN000000000006,ACC000000000525,2025-03-16 02:04:41,FEE,58.99,DR,28717.43,POS,Transaction 6,SUCCESS
TXN000000000007,ACC000000000939,2025-08-19 02:04:41,PAYMENT,2153.03,CR,46604.77,BRANCH,Transaction 7,FAILED
TXN000000000008,ACC000000000361,2025-02-07 02:04:41,FEE,6830.06,CR,18945.75,BRANCH,Transaction 8,SUCCESS
TXN000000000009,ACC000000000974,2025-01-25 02:04:41,ATM_WITHDRAWAL,6124.55,DR,27637.18,ATM,Transaction 9,SUCCESS
TXN000000000010,ACC000000000435,2025-06-09 02:04:41,FEE,8935.22,CR,368.17,POS,Transaction 10,SUCCESS
TXN000000000011,ACC000000000297,2025-08-10 02:04:41,ATM_WITHDRAWAL,8886.58,CR,42727.76,MOBILE,Transaction 11,SUCCESS
TXN000000000012,ACC000000000781,2025-07-28 02:04:41,DEPOSIT,7512.45,DR,28138.71,ATM,Transaction 12,SUCCESS
TXN000000000013,ACC000000001032,2025-07-15 02:04:41,FEE,7132.93,DR,44849.26,POS,Transaction 13,PENDING
TXN000000000014,ACC000000000748,2025-10-21 02:04:41,ATM_WITHDRAWAL,8112.21,CR,19403.64,ATM,Transaction 14,SUCCESS
TXN000000000015,ACC000000000372,2025-08-05 02:04:41,INTEREST_CREDIT,9110.12,CR,5669.02,BRANCH,Transaction 15,SUCCESS
TXN000000000016,ACC000000000721,2025-05-02 02:04:41,WITHDRAWAL,5487.59,DR,5895.16,BRANCH,Transaction 16,SUCCESS
TXN000000000017,ACC000000000773,2026-01-06 02:04:41,TRANSFER,5521.7,DR,43802.02,POS,Transaction 17,FAILED
TXN000000000018,ACC000000000512,2025-11-21 02:04:41,TRANSFER,7817.65,CR,11924.81,ATM,Transaction 18,FAILED
TXN000000000019,ACC000000000843,2025-09-01 02:04:41,TRANSFER,3576.81,CR,15215.32,POS,Transaction 19,SUCCESS
TXN000000000020,ACC000000000690,2026-01-12 02:04:41,TRANSFER,2797.68,CR,35813.56,BRANCH,Transaction 20,SUCCESS
TXN000000000021,ACC000000001390,2025-04-02 02:04:41,ATM_WITHDRAWAL,4790.4,DR,16062.46,ATM,Transaction 21,PENDING
TXN000000000022,ACC000000000684,2025-02-26 02:04:41,WITHDRAWAL,4559.18,DR,22812.0,POS,Transaction 22,SUCCESS
TXN000000000023,ACC000000001375,2025-09-01 02:04:41,DEPOSIT,3008.56,CR,47340.33,ONLINE,Transaction 23,PENDING
TXN000000000024,ACC000000000940,2025-05-04 02:04:41,PAYMENT,456.84,CR,5532.07,ONLINE,Transaction 24,FAILED
TXN000000000025,ACC000000001379,2025-04-27 02:04:41,TRANSFER,1833.5,CR,42505.22,ATM,Transaction 25,FAILED
TXN000000000026,ACC000000000812,2026-01-11 02:04:41,INTEREST_CREDIT,5050.39,DR,11199.2,POS,Transaction 26,FAILED
TXN000000000027,ACC000000000140,2025-10-16 02:04:41,DEPOSIT,8806.19,DR,8260.17,POS,Transaction 27,PENDING
TXN000000000028,ACC000000000324,2025-11-05 02:04:41,DEPOSIT,8749.98,CR,24163.52,BRANCH,Transaction 28,FAILED
TXN000000000029,ACC000000000491,2025-10-15 02:04:41,INTEREST_CREDIT,9344.57,CR,18201.56,BRANCH,Transaction 29,SUCCESS
TXN000000000030,ACC000000001347,2025-12-11 02:04:41,WITHDRAWAL,2794.3,CR,35564.66,ATM,Transaction 30,SUCCESS
TXN000000000031,ACC000000001271,2025-10-28 02:04:41,FEE,8857.24,DR,47713.85,ONLINE,Transaction 31,PENDING
TXN000000000032,ACC000000000271,2025-04-24 02:04:41,ATM_WITHDRAWAL,6816.15,CR,48102.12,ATM,Transaction 32,SUCCESS
TXN000000000033,ACC000000000676,2025-02-08 02:04:41,FEE,7799.1,DR,32756.22,BRANCH,Transaction 33,FAILED
TXN000000000034,ACC000000000400,2025-01-23 02:04:41,WITHDRAWAL,5475.84,DR,4887.5,ATM,Transaction 34,SUCCESS
TXN000000000035,ACC000000001223,2025-11-16 02:04:41,TRANSFER,7283.3,DR,28050.52,BRANCH,Transaction 35,SUCCESS
TXN000000000036,ACC000000000256,2025-10-22 02:04:41,PAYMENT,173.14,DR,3230.12,ONLINE,Transaction 36,SUCCESS
TXN000000000037,ACC000000000573,2025-05-13 02:04:41,DEPOSIT,483.04,CR,9444.54,MOBILE,Transaction 37,FAILED
TXN000000000038,ACC000000001395,2025-05-19 02:04:41,ATM_WITHDRAWAL,7345.68,CR,30831.42,ONLINE,Transaction 38,SUCCESS
TXN000000000039,ACC000000000615,2025-09-03 02:04:41,FEE,4331.37,DR,45428.19,MOBILE,Transaction 39,SUCCESS
TXN000000000040,ACC000000001390,2025-11-03 02:04:41,DEPOSIT,5623.95,DR,3266.08,BRANCH,Transaction 40,FAILED
TXN000000000041,ACC000000001125,2025-09-03 02:04:41,PAYMENT,8148.92,DR,1110.21,POS,Transaction 41,SUCCESS
TXN000000000042,ACC000000000421,2025-07-14 02:04:41,WITHDRAWAL,9535.48,DR,27148.39,ONLINE,Transaction 42,FAILED
TXN000000000043,ACC000000000372,2025-09-26 02:04:41,ATM_WITHDRAWAL,1154.4,DR,38104.13,POS,Transaction 43,FAILED
TXN000000000044,ACC000000001406,2025-12-04 02:04:41,INTEREST_CREDIT,8275.09,CR,11166.05,MOBILE,Transaction 44,SUCCESS
TXN000000000045,ACC000000000213,2025-10-02 02:04:41,INTEREST_CREDIT,3264.66,CR,16805.89,ONLINE,Transaction 45,SUCCESS
TXN000000000046,ACC000000000579,2025-03-31 02:04:41,WITHDRAWAL,50.82,DR,7402.67,ONLINE,Transaction 46,SUCCESS
TXN000000000047,ACC000000000018,2025-08-25 02:04:41,TRANSFER,5537.65,CR,3745.54,MOBILE,Transaction 47,SUCCESS
TXN000000000048,ACC000000000652,2025-08-19 02:04:41,INTEREST_CREDIT,7664.84,DR,24537.08,ATM,Transaction 48,SUCCESS
TXN000000000049,ACC000000000477,2025-09-30 02:04:41,WITHDRAWAL,2726.2,DR,6709.99,ONLINE,Transaction 49,SUCCESS
TXN000000000050,ACC000000001140,2025-05-06 02:04:41,DEPOSIT,9478.44,CR,1765.77,BRANCH,Transaction 50,PENDING
TXN000000000051,ACC000000000099,2025-06-01 02:04:41,DEPOSIT,7887.91,CR,33807.68,MOBILE,Transaction 51,SUCCESS
TXN000000000052,ACC000000001155,2025-01-31 02:04:41,TRANSFER,9084.72,DR,15642.88,BRANCH,Transaction 52,FAILED
TXN000000000053,ACC000000000976,2025-12-26 02:04:41,TRANSFER,4750.79,DR,32252.51,ONLINE,Transaction 53,SUCCESS
TXN000000000054,ACC000000001246,2025-04-16 02:04:41,TRANSFER,9793.76,CR,43582.17,ATM,Transaction 54,FAILED
TXN000000000055,ACC000000000459,2025-10-13 02:04:41,DEPOSIT,3986.52,CR,35642.92,BRANCH,Transaction 55,SUCCESS
TXN000000000056,ACC000000001102,2025-02-03 02:04:41,INTEREST_CREDIT,1291.23,DR,8079.01,ATM,Transaction 56,PENDING
TXN000000000057,ACC000000000205,2025-11-20 02:04:41,DEPOSIT,5515.52,DR,49724.94,POS,Transaction 57,SUCCESS
TXN000000000058,ACC000000001443,2025-07-25 02:04:41,WITHDRAWAL,6949.96,DR,14388.39,MOBILE,Transaction 58,FAILED
TXN000000000059,ACC000000001228,2025-09-09 02:04:41,WITHDRAWAL,919.47,CR,17584.57,ATM,Transaction 59,SUCCESS
TXN000000000060,ACC000000000005,2026-01-07 02:04:41,FEE,2261.37,DR,44763.78,POS,Transaction 60,SUCCESS
TXN000000000061,ACC000000000220,2025-12-06 02:04:41,ATM_WITHDRAWAL,9365.56,CR,23406.99,BRANCH,Transaction 61,SUCCESS
TXN000000000062,ACC000000000033,2025-09-26 02:04:41,PAYMENT,9242.67,DR,37901.08,ATM,Transaction 62,SUCCESS
TXN000000000063,ACC000000000402,2025-06-05 02:04:41,ATM_WITHDRAWAL,3180.81,DR,1688.03,BRANCH,Transaction 63,SUCCESS
TXN000000000064,ACC000000000026,2025-01-31 02:04:41,ATM_WITHDRAWAL,602.26,DR,17547.13,POS,Transaction 64,SUCCESS
TXN000000000065,ACC000000001401,2025-02-01 02:04:41,WITHDRAWAL,1298.16,CR,37424.02,MOBILE,Transaction 65,FAILED
TXN000000000066,ACC000000001085,2025-12-13 02:04:41,INTEREST_CREDIT,3848.45,DR,25724.53,POS,Transaction 66,FAILED
TXN000000000067,ACC000000000983,2026-01-07 02:04:41,DEPOSIT,6954.09,DR,3112.54,ONLINE,Transaction 67,FAILED
TXN000000000068,ACC000000001198,2025-07-21 02:04:41,TRANSFER,6552.13,DR,45863.35,BRANCH,Transaction 68,SUCCESS
TXN000000000069,ACC000000000325,2025-08-07 02:04:41,DEPOSIT,6762.67,CR,47241.44,BRANCH,Transaction 69,SUCCESS
TXN000000000070,ACC000000000602,2025-10-22 02:04:41,ATM_WITHDRAWAL,1815.26,DR,32343.66,ONLINE,Transaction 70,PENDING
TXN000000000071,ACC000000001045,2025-01-30 02:04:41,PAYMENT,5116.32,DR,18419.77,POS,Transaction 71,SUCCESS
TXN000000000072,ACC000000001153,2025-10-19 02:04:41,PAYMENT,5562.79,CR,13123.61,BRANCH,Transaction 72,SUCCESS
TXN000000000073,ACC000000001334,2025-10-17 02:04:41,FEE,9403.98,CR,4249.6,MOBILE,Transaction 73,PENDING
TXN000000000074,ACC000000000931,2025-04-01 02:04:41,WITHDRAWAL,6897.9,DR,24739.54,MOBILE,Transaction 74,SUCCESS
TXN000000000075,ACC000000000658,2025-10-25 02:04:41,TRANSFER,3253.14,CR,44835.86,POS,Transaction 75,FAILED
TXN000000000076,ACC000000001200,2025-11-23 02:04:41,TRANSFER,3848.1,CR,20354.82,ATM,Transaction 76,PENDING
TXN000000000077,ACC000000000553,2025-01-24 02:04:41,FEE,1849.35,DR,28347.48,ATM,Transaction 77,PENDING
TXN000000000078,ACC000000000103,2025-02-26 02:04:41,DEPOSIT,2930.64,DR,16241.8,MOBILE,Transaction 78,PENDING
TXN000000000079,ACC000000000674,2025-02-11 02:04:41,PAYMENT,706.31,CR,9950.63,MOBILE,Transaction 79,PENDING
TXN000000000080,ACC000000000627,2025-03-23 02:04:41,DEPOSIT,7661.23,CR,45344.6,BRANCH,Transaction 80,FAILED
TXN000000000081,ACC000000000023,2025-07-12 02:04:41,TRANSFER,1141.55,CR,20013.48,POS,Transaction 81,SUCCESS
TXN000000000082,ACC000000000410,2025-03-03 02:04:41,INTEREST_CREDIT,2039.69,DR,13595.62,POS,Transaction 82,SUCCESS
TXN000000000083,ACC000000000649,2025-08-29 02:04:41,TRANSFER,2345.6,CR,10683.53,ONLINE,Transaction 83,FAILED
