transaction_id,account_number,transaction_date,transaction_type,amount,debit_credit,balance_after,channel,remarks,status
TXN000000000012,ACC000000000781,2025-07-28 02:04:41,DEPOSIT,7512.45,DR,28138.71,ATM,Transaction 12,SUCCESS
TXN000000000023,ACC000000001375,2025-09-01 02:04:41,DEPOSIT,3008.56,CR,47340.33,ONLINE,Transaction 23,PENDING
TXN000000000027,ACC000000000140,2025-10-16 02:04:41,DEPOSIT,8806.19,DR,8260.17,POS,Transaction 27,PENDING
TXN000000000028,ACC000000000324,2025-11-05 02:04:41,DEPOSIT,8749.98,CR,24163.52,BRANCH,Transaction 28,FAILED
TXN000000000037,ACC000000000573,2025-05-13 02:04:41,DEPOSIT,483.04,CR,9444.54,MOBILE,Transaction 37,FAILED
TXN000000000040,ACC000000001390,2025-11-03 02:04:41,DEPOSIT,5623.95,DR,3266.08,BRANCH,Transaction 40,FAILED
TXN000000000050,ACC000000001140,2025-05-06 02:04:41,DEPOSIT,9478.44,CR,1765.77,BRANCH,Transaction 50,PENDING
TXN000000000051,ACC000000000099,2025-06-01 02:04:41,DEPOSIT,7887.91,CR,33807.68,MOBILE,Transaction 51,SUCCESS
TXN000000000055,ACC000000000459,2025-10-13 02:04:41,DEPOSIT,3986.52,CR,35642.92,BRANCH,Transaction 55,SUCCESS
TXN000000000057,ACC000000000205,2025-11-20 02:04:41,DEPOSIT,5515.52,DR,49724.94,POS,Transaction 57,SUCCESS
TXN000000000067,ACC000000000983,2026-01-07 02:04:41,DEPOSIT,6954.09,DR,3112.54,ONLINE,Transaction 67,FAILED
TXN000000000069,ACC000000000325,2025-08-07 02:04:41,DEPOSIT,6762.67,CR,47241.44,BRANCH,Transaction 69,SUCCESS
TXN000000000078,ACC000000000103,2025-02-26 02:04:41,DEPOSIT,2930.64,DR,16241.8,MOBILE,Transaction 78,PENDING
TXN000000000080,ACC000000000627,2025-03-23 02:04:41,DEPOSIT,7661.23,CR,45344.6,BRANCH,Transaction 80,FAILED
TXN000000000093,ACC000000001339,2025-07-07 02:04:41,DEPOSIT,4680.1,CR,5650.79,BRANCH,Transaction 93,SUCCESS
TXN000000000096,ACC000000000711,2025-10-02 02:04:41,DEPOSIT,4118.49,CR,6899.65,ONLINE,Transaction 96,FAILED
TXN000000000098,ACC000000000510,2025-01-29 02:04:41,DEPOSIT,2424.65,DR,41505.79,POS,Transaction 98,PENDING
TXN000000000121,ACC000000000911,2025-12-23 02:04:41,DEPOSIT,3198.59,CR,18318.71,ONLINE,Transaction 121,FAILED
TXN000000000122,ACC000000000334,2025-03-10 02:04:41,DEPOSIT,314.24,CR,41171.65,MOBILE,Transaction 122,SUCCESS
TXN000000000136,ACC000000000592,2025-10-08 02:04:41,DEPOSIT,3053.52,CR,19330.31,MOBILE,Transaction 136,SUCCESS
TXN000000000140,ACC000000000792,2025-07-18 02:04:41,DEPOSIT,9047.0,DR,14980.83,ATM,Transaction 140,PENDING
TXN000000000142,ACC000000000630,2025-05-31 02:04:41,DEPOSIT,7093.7,DR,13534.05,ATM,Transaction 142,SUCCESS
TXN000000000152,ACC000000001438,2025-04-08 02:04:41,DEPOSIT,6547.66,CR,17313.98,POS,Transaction 152,SUCCESS
TXN000000000155,ACC000000000979,2025-04-22 02:04:41,DEPOSIT,6180.27,CR,22099.45,BRANCH,Transaction 155,SUCCESS
TXN000000000160,ACC000000001291,2025-01-28 02:04:41,DEPOSIT,9862.11,DR,5652.83,MOBILE,Transaction 160,PENDING
TXN000000000169,ACC000000000339,2025-11-06 02:04:41,DEPOSIT,9561.29,CR,48609.36,ATM,Transaction 169,FAILED
TXN000000000171,ACC000000000855,2025-09-29 02:04:41,DEPOSIT,2137.67,CR,25779.86,ONLINE,Transaction 171,SUCCESS
TXN000000000175,ACC000000000919,2025-08-09 02:04:41,DEPOSIT,8584.31,CR,8607.84,POS,Transaction 175,PENDING
TXN000000000176,ACC000000001476,2025-08-05 02:04:41,DEPOSIT,7473.07,CR,4639.77,ONLINE,Transaction 176,SUCCESS
TXN000000000178,ACC000000001178,2025-05-16 02:04:41,DEPOSIT,1822.21,CR,20217.4,ATM,Transaction 178,SUCCESS
TXN000000000181,ACC000000000952,2025-07-21 02:04:41,DEPOSIT,9122.51,CR,47807.53,ATM,Transaction 181,FAILED
TXN000000000196,ACC000000000850,2025-04-08 02:04:41,DEPOSIT,8613.31,CR,1670.82,ONLINE,Transaction 196,SUCCESS
TXN000000000204,ACC000000000256,2025-09-12 02:04:41,DEPOSIT,4421.11,CR,46078.29,ATM,Transaction 204,SUCCESS
TXN000000000215,ACC000000000633,2025-11-30 02:04:41,DEPOSIT,1131.63,DR,33632.45,BRANCH,Transaction 215,SUCCESS
TXN000000000216,ACC000000000200,2025-02-01 02:04:41,DEPOSIT,2358.2,DR,31926.45,ATM,Transaction 216,PENDING
TXN000000000218,ACC000000000920,2025-05-28 02:04:41,DEPOSIT,7850.19,CR,37375.74,ATM,Transaction 218,SUCCESS
TXN000000000222,ACC000000001048,2025-06-20 02:04:41,DEPOSIT,614.17,CR,25374.61,MOBILE,Transaction 222,PENDING
TXN000000000223,ACC000000000661,2025-04-28 02:04:41,DEPOSIT,7868.21,DR,26828.56,MOBILE,Transaction 223,PENDING
TXN000000000225,ACC000000000551,2025-02-23 02:04:41,DEPOSIT,8967.17,CR,25148.97,ONLINE,Transaction 225,SUCCESS
TXN000000000233,ACC000000000490,2025-02-01 02:04:41,DEPOSIT,1201.39,CR,20405.61,POS,Transaction 233,SUCCESS
TXN000000000242,ACC000000000770,2025-10-15 02:04:41,DEPOSIT,7407.94,CR,18272.38,ATM,Transaction 242,FAILED
TXN000000000245,ACC000000000484,2025-09-30 02:04:41,DEPOSIT,2126.28,CR,34928.1,POS,Transaction 245,SUCCESS
TXN000000000249,ACC000000001437,2025-02-25 02:04:41,DEPOSIT,7600.93,DR,26359.87,MOBILE,Transaction 249,SUCCESS
TXN000000000253,ACC000000000535,2026-01-02 02:04:41,DEPOSIT,9457.08,DR,13048.67,POS,Transaction 253,SUCCESS
TXN000000000254,ACC000000000969,2025-11-26 02:04:41,DEPOSIT,8581.52,DR,17699.79,ATM,Transaction 254,FAILED
TXN000000000255,ACC000000000917,2025-07-16 02:04:41,DEPOSIT,8127.23,CR,46948.83,MOBILE,Transaction 255,SUCCESS
TXN000000000269,ACC000000001167,2025-08-09 02:04:41,DEPOSIT,4300.81,DR,46630.26,ONLINE,Transaction 269,SUCCESS
TXN000000000285,ACC000000000961,2025-04-04 02:04:41,DEPOSIT,4710.78,DR,31666.77,ATM,Transaction 285,SUCCESS
TXN000000000304,ACC000000001142,2026-01-16 02:04:41,DEPOSIT,4239.43,DR,13732.97,MOBILE,Transaction 304,SUCCESS
TXN000000000313,ACC000000001459,2025-12-09 02:04:41,DEPOSIT,718.65,CR,42667.49,ATM,Transaction 313,PENDING
TXN000000000327,ACC000000000634,2025-12-16 02:04:41,DEPOSIT,4526.83,DR,9496.41,ONLINE,Transaction 327,FAILED
TXN000000000331,ACC000000000958,2025-11-08 02:04:41,DEPOSIT,3322.15,DR,30035.01,ATM,Transaction 331,SUCCESS
