transaction_id,account_number,transaction_date,transaction_type,amount,debit_credit,balance_after,channel,remarks,status
TXN000000000017,ACC000000000773,2026-01-06 02:04:41,TRANSFER,5521.7,DR,43802.02,POS,Transaction 17,FAILED
TXN000000000018,ACC000000000512,2025-11-21 02:04:41,TRANSFER,7817.65,CR,11924.81,ATM,Transaction 18,FAILED
TXN000000000019,ACC000000000843,2025-09-01 02:04:41,TRANSFER,3576.81,CR,15215.32,POS,Transaction 19,SUCCESS
TXN000000000020,ACC000000000690,2026-01-12 02:04:41,TRANSFER,2797.68,CR,35813.56,BRANCH,Transaction 20,SUCCESS
TXN000000000025,ACC000000001379,2025-04-27 02:04:41,TRANSFER,1833.5,CR,42505.22,ATM,Transaction 25,FAILED
TXN000000000035,ACC000000001223,2025-11-16 02:04:41,TRANSFER,7283.3,DR,28050.52,BRANCH,Transaction 35,SUCCESS
TXN000000000047,ACC000000000018,2025-08-25 02:04:41,TRANSFER,5537.65,CR,3745.54,MOBILE,Transaction 47,SUCCESS
TXN000000000052,ACC000000001155,2025-01-31 02:04:41,TRANSFER,9084.72,DR,15642.88,BRANCH,Transaction 52,FAILED
TXN000000000053,ACC000000000976,2025-12-26 02:04:41,TRANSFER,4750.79,DR,32252.51,ONLINE,Transaction 53,SUCCESS
TXN000000000054,ACC000000001246,2025-04-16 02:04:41,TRANSFER,9793.76,CR,43582.17,ATM,Transaction 54,FAILED
TXN000000000068,ACC000000001198,2025-07-21 02:04:41,TRANSFER,6552.13,DR,45863.35,BRANCH,Transaction 68,SUCCESS
TXN000000000075,ACC000000000658,2025-10-25 02:04:41,TRANSFER,3253.14,CR,44835.86,POS,Transaction 75,FAILED
TXN000000000076,ACC000000001200,2025-11-23 02:04:41,TRANSFER,3848.1,CR,20354.82,ATM,Transaction 76,PENDING
TXN000000000081,ACC000000000023,2025-07-12 02:04:41,TRANSFER,1141.55,CR,20013.48,POS,Transaction 81,SUCCESS
TXN000000000083,ACC000000000649,2025-08-29 02:04:41,TRANSFER,2345.6,CR,10683.53,ONLINE,Transaction 83,FAILED
TXN000000000090,ACC000000001361,2025-10-30 02:04:41,TRANSFER,3341.66,CR,25312.01,ONLINE,Transaction 90,FAILED
TXN000000000097,ACC000000000630,2025-08-13 02:04:41,TRANSFER,1893.03,CR,34584.3,MOBILE,Transaction 97,PENDING
TXN000000000102,ACC000000001094,2025-01-23 02:04:41,TRANSFER,7087.31,DR,45804.44,BRANCH,Transaction 102,PENDING
TXN000000000128,ACC000000001100,2025-04-20 02:04:41,TRANSFER,7567.81,CR,27321.98,MOBILE,Transaction 128,FAILED
TXN000000000132,ACC000000000455,2025-11-21 02:04:41,TRANSFER,9614.98,CR,48090.56,ATM,Transaction 132,PENDING
TXN000000000144,ACC000000000975,2025-01-23 02:04:41,TRANSFER,2371.1,DR,48567.69,BRANCH,Transaction 144,PENDING
TXN000000000157,ACC000000001101,2025-08-02 02:04:41,TRANSFER,2065.69,DR,3087.23,ONLINE,Transaction 157,SUCCESS
