Customer_ID,Name,Date_Of_Birth,Join_Date,Risk_Rating,Segment,KYC_Status
CUST-AE6D5102,Customer_90271,1943-04-06,2001-08-18,HIGH,Retail,Verified
CUST-83DB09A1,Customer_35165,1968-08-13,1986-11-10,HIGH,SME,Verified
CUST-4E16F18F,Customer_21627,1946-12-15,1987-01-29,HIGH,SME,Verified
CUST-BEB474D3,Customer_50910,1949-03-23,1988-12-31,LOW,Retail,Verified
CUST-405B8E86,Customer_23282,1946-02-28,1998-09-08,LOW,Retail,Verified
CUST-2E9C3655,Customer_42972,1972-01-14,1990-05-19,HIGH,Corporate,Verified
CUST-2466E7A3,Customer_59546,1979-08-05,1997-03-30,HIGH,SME,Verified
CUST-F8D58487,Customer_66390,1964-10-08,1986-07-12,HIGH,Retail,Verified
CUST-4EF234F2,Customer_80091,1955-12-28,1990-04-12,LOW,SME,Verified
CUST-3EFD360E,Customer_45967,1968-02-12,1989-10-09,MEDIUM,SME,Verified
CUST-CFD8723D,Customer_23448,1944-11-04,1990-09-05,LOW,Retail,Verified
CUST-64EF255E,Customer_34962,1985-07-02,1982-12-09,HIGH,Corporate,Verified
CUST-640EF3D4,Customer_51652,1975-11-26,1999-01-16,LOW,Retail,Verified
CUST-793719AB,Customer_29950,1942-06-11,1991-07-28,LOW,SME,Verified
CUST-15194763,Customer_77222,1940-10-17,1993-05-30,LOW,SME,Verified
CUST-F3885E9B,Customer_21475,1985-04-21,2002-11-15,HIGH,SME,Verified
CUST-BC09FB52,Customer_31783,1951-08-10,2001-07-17,LOW,Retail,Verified
CUST-EE5B7F38,Customer_11263,1970-02-02,2002-12-16,HIGH,SME,Verified
CUST-DA30FDEE,Customer_54343,1973-04-29,1993-12-06,HIGH,SME,Verified
CUST-DF88492E,Customer_85847,1969-10-08,1988-06-05,HIGH,SME,Verified
CUST-4B952E18,Customer_20684,1970-05-30,2003-02-07,LOW,Corporate,Verified
CUST-FB044B2E,Customer_62433,1948-06-10,1999-11-19,MEDIUM,Retail,Verified
CUST-6CBD94A1,Customer_28024,1947-11-26,1980-12-05,MEDIUM,Corporate,Verified
CUST-495F1038,Customer_27245,1982-05-23,1985-03-21,HIGH,Retail,Verified
CUST-D34CC0BC,Customer_16763,1955-04-30,1980-07-28,HIGH,Corporate,Verified
CUST-40270E41,Customer_32922,1983-08-09,2001-01-16,LOW,Corporate,Verified
CUST-5F221EC9,Customer_63884,1942-02-24,1983-02-10,HIGH,Retail,Verified
CUST-F6A8580F,Customer_62767,1983-10-24,1990-01-25,MEDIUM,Retail,Verified
CUST-7B17953E,Customer_38254,1980-02-26,1999-12-08,HIGH,Retail,Verified
CUST-4449CD9B,Customer_76115,1960-12-07,2002-08-02,LOW,Retail,Verified
CUST-8129B8D2,Customer_50548,1949-06-28,1988-10-19,LOW,Retail,Verified
CUST-BD7DD775,Customer_30980,1942-04-08,2005-06-24,HIGH,Retail,Verified
CUST-C27E17E7,Customer_50121,1942-12-05,1997-12-30,HIGH,Retail,Verified
CUST-83B5DFB2,Customer_35612,1943-12-02,2002-07-31,HIGH,Corporate,Verified
CUST-F3DF845C,Customer_48858,1984-04-05,1998-06-06,MEDIUM,SME,Verified
CUST-34BC2395,Customer_41118,1972-07-09,1989-07-25,LOW,Corporate,Verified
CUST-7560542F,Customer_48891,1952-03-17,1996-07-27,HIGH,Retail,Verified
CUST-A5D4BC45,Customer_53247,1981-12-22,2005-09-23,MEDIUM,Retail,Verified
