Customer_ID,Name,Date_Of_Birth,Join_Date,Risk_Rating,Segment,KYC_Status
CUST-0957F88A,Customer_69633,1965-02-25,1997-10-06,HIGH,Retail,Verified
CUST-1B267DE6,Customer_77719,1966-05-09,1989-12-15,HIGH,Corporate,Verified
CUST-3BC0C934,Customer_19888,1981-10-14,1998-12-24,LOW,Corporate,Verified
CUST-911385F8,Customer_77049,1965-12-18,1993-11-02,HIGH,SME,Verified
CUST-D0C4B81E,Customer_10648,1946-03-22,1992-08-01,MEDIUM,Corporate,Verified
CUST-0E1F76D2,Customer_89709,1975-01-03,1986-12-24,MEDIUM,Corporate,Verified
CUST-05F97FA5,Customer_99269,1945-07-22,1995-11-13,MEDIUM,Corporate,Verified
CUST-19D9B7F1,Customer_71406,1943-05-27,1997-03-28,LOW,Corporate,Verified
CUST-31591D3F,Customer_64688,1977-05-15,1993-12-15,HIGH,Corporate,Verified
CUST-25DC05D2,Customer_57577,1956-06-28,1991-04-06,MEDIUM,SME,Verified
CUST-DE35555C,Customer_18076,1977-06-22,1982-08-30,MEDIUM,Retail,Verified
CUST-D833A278,Customer_21923,1961-03-12,1986-11-07,LOW,Corporate,Verified
CUST-009959F8,Customer_79915,1982-12-18,1988-01-08,MEDIUM,SME,Verified
CUST-7E910E02,Customer_71713,1948-06-04,1987-12-24,HIGH,SME,Verified
CUST-041A0DAE,Customer_75943,1964-10-19,2001-01-26,LOW,Retail,Verified
CUST-C334B9EA,Customer_15804,1971-11-18,1994-12-06,MEDIUM,SME,Verified
CUST-E4E28ABD,Customer_72146,1943-08-03,1982-05-07,LOW,SME,Verified
CUST-1A01082B,Customer_15626,1957-11-08,1984-09-22,HIGH,SME,Verified
CUST-1ED2EB14,Customer_96794,1947-08-12,1987-11-14,LOW,SME,Verified
CUST-AD6EC4B8,Customer_21838,1943-03-05,2001-06-08,LOW,SME,Verified
CUST-3B929417,Customer_67473,1941-01-21,1989-12-07,LOW,Corporate,Verified
CUST-7C5811E1,Customer_94002,1980-11-19,1981-07-08,LOW,SME,Verified
CUST-008F06B7,Customer_50303,1980-02-22,1987-06-18,HIGH,Retail,Verified
CUST-3E720B15,Customer_32504,1978-12-28,1981-08-05,HIGH,SME,Verified
CUST-5D2A3941,Customer_32918,1966-04-08,1997-03-04,MEDIUM,SME,Verified
CUST-B7A9BE48,Customer_32652,1970-11-29,2003-05-26,LOW,Corporate,Verified
CUST-D2306FCC,Customer_24771,1980-09-26,1985-03-17,LOW,SME,Verified
CUST-B1DFA74E,Customer_48004,1971-01-24,2004-12-17,HIGH,Retail,Verified
CUST-AB8B9D62,Customer_94062,1964-02-23,1997-02-21,MEDIUM,Corporate,Verified
CUST-6E0A1345,Customer_29143,1973-05-05,1992-05-15,LOW,Corporate,Verified
CUST-93BE0B00,Customer_42774,1942-11-06,2004-03-21,LOW,Retail,Verified
CUST-D428DE7C,Customer_25926,1951-07-09,1980-04-09,MEDIUM,Corporate,Verified
CUST-8B6C3E07,Customer_28731,1953-03-24,1980-08-25,MEDIUM,Corporate,Verified
CUST-81597A53,Customer_87653,1947-10-27,1987-02-25,HIGH,Retail,Verified
CUST-4BA8A759,Customer_80462,1977-03-24,1997-08-23,MEDIUM,SME,Verified
CUST-160EA632,Customer_53525,1968-08-16,1986-09-26,HIGH,Retail,Verified
CUST-6A2372D5,Customer_15223,1947-12-27,1996-03-24,LOW,SME,Verified
CUST-EBAAE928,Customer_29030,1950-06-13,2004-12-24,MEDIUM,Corporate,Verified
CUST-BC753894,Customer_48501,1959-12-14,2004-05-27,HIGH,Corporate,Verified
CUST-EEA6CA68,Customer_44348,1943-05-07,1986-12-11,HIGH,Corporate,Verified
CUST-716FCFCE,Customer_68915,1962-07-27,1987-10-01,HIGH,SME,Verified
CUST-AD986FE7,Customer_14752,1982-07-19,1992-10-18,LOW,Retail,Verified
CUST-7534240A,Customer_45741,1976-05-30,1985-12-17,MEDIUM,SME,Verified
CUST-EE7991EA,Customer_51918,1947-08-12,1980-02-03,HIGH,Corporate,Verified
CUST-3A7FA13B,Customer_36745,1985-02-26,2003-04-05,MEDIUM,Corporate,Verified
CUST-AFE66FC3,Customer_65016,1947-01-23,1997-06-13,LOW,Retail,Verified
CUST-1AAEDDDF,Customer_18182,1940-06-18,1994-09-16,MEDIUM,SME,Verified
CUST-FCE4A59C,Customer_15399,1963-12-08,1999-05-02,MEDIUM,Retail,Verified
CUST-5A77CC5A,Customer_28817,1948-06-29,1982-05-03,MEDIUM,Corporate,Verified
CUST-EFEA5D9A,Customer_33480,1973-01-02,1983-12-28,MEDIUM,SME,Verified
CUST-8AF069C4,Customer_72571,1947-10-17,1980-11-25,MEDIUM,Corporate,Verified
CUST-D57AB195,Customer_65032,1952-02-12,2004-06-10,HIGH,SME,Verified
CUST-EBEBF48C,Customer_19691,1985-12-04,1994-11-29,LOW,SME,Verified
CUST-D545AB71,Customer_45064,1967-01-26,1988-10-23,HIGH,Retail,Verified
CUST-9D6BE6DB,Customer_86719,1959-05-07,1988-06-17,LOW,SME,Verified
CUST-F37D3795,Customer_20656,1968-07-02,1987-11-01,HIGH,Retail,Verified
CUST-7D4CCFD6,Customer_41227,1976-12-14,1994-10-03,LOW,SME,Verified
CUST-EC985C25,Customer_24382,1957-09-04,1987-08-20,LOW,Corporate,Verified
CUST-E2B6C7D3,Customer_18939,1956-07-19,1980-03-27,HIGH,Retail,Verified
CUST-69967A65,Customer_70334,1978-04-01,1990-05-08,LOW,SME,Verified
CUST-011EDE37,Customer_12095,1981-06-20,1990-12-10,LOW,Corporate,Verified
CUST-0F2D8440,Customer_96794,1973-12-22,1986-04-08,LOW,Retail,Verified
CUST-FA5535D4,Customer_31017,1940-06-16,1999-08-14,HIGH,Retail,Verified
CUST-31F76D00,Customer_69825,1945-07-03,2001-04-11,HIGH,Retail,Verified
CUST-5C4CA0CE,Customer_24502,1971-03-29,1981-08-21,LOW,SME,Verified
CUST-584EBB1B,Customer_44967,1985-04-21,1999-05-14,MEDIUM,Retail,Verified
CUST-4816740E,Customer_32524,1968-12-10,2004-06-08,LOW,Retail,Verified
CUST-99E95267,Customer_33526,1959-04-19,1989-07-24,HIGH,SME,Verified
CUST-F1DBE8CD,Customer_76027,1966-08-09,1992-02-13,HIGH,Corporate,Verified
CUST-0B3241C3,Customer_27669,1956-05-24,1984-10-17,LOW,Corporate,Verified
CUST-95984C5F,Customer_49201,1944-06-30,1991-12-24,LOW,Corporate,Verified
CUST-A6ED97E8,Customer_42774,1982-07-04,2001-10-12,MEDIUM,SME,Verified
CUST-114FE1FA,Customer_78369,1953-07-11,1997-06-05,LOW,Retail,Verified
CUST-1E2ED3BF,Customer_81833,1940-11-10,1982-08-18,MEDIUM,SME,Verified
