account_number,customer_id,product_code,branch_id,currency,current_balance,status,open_date
1009339601,CIF000001,SB001,BR0011,USD,34632.71,ACTIVE,2024-08-30
1005366840,CIF000002,SB001,BR0014,USD,46239.62,ACTIVE,2022-04-08
1006914421,CIF000003,SB001,BR0008,USD,47600.04,ACTIVE,2024-11-12
1008684193,CIF000005,SB001,BR0011,USD,1892.16,ACTIVE,2024-04-12
1002073837,CIF000006,SB001,BR0013,USD,18446.83,ACTIVE,2024-01-04
1001185004,CIF000007,SB001,BR0011,USD,5154.73,ACTIVE,2023-03-09
1001455833,CIF000008,SB001,BR0013,USD,14672.26,ACTIVE,2023-05-09
1005712386,CIF000009,SB001,BR0019,USD,3865.6,ACTIVE,2023-11-30
1003295264,CIF000010,SB001,BR0012,USD,22483.76,ACTIVE,2023-08-07
1007414415,CIF000011,SB001,BR0009,USD,41945.41,ACTIVE,2023-05-24
1003778373,CIF000012,SB001,BR0012,USD,14076.25,ACTIVE,2023-01-04
1007736826,CIF000013,SB001,BR0005,USD,6271.84,ACTIVE,2023-10-14
1003396444,CIF000014,SB001,BR0010,USD,699.25,ACTIVE,2024-05-30
1003883696,CIF000015,SB001,BR0008,USD,27997.54,ACTIVE,2024-01-02
1005283978,CIF000016,SB001,BR0008,USD,8814.71,ACTIVE,2022-10-06
1002666168,CIF000017,SB001,BR0009,USD,26410.25,ACTIVE,2023-04-15
1008029162,CIF000019,SB001,BR0014,USD,27631.1,ACTIVE,2022-02-17
1002823452,CIF000020,SB001,BR0001,USD,7413.63,ACTIVE,2023-08-20
1003159709,CIF000021,SB001,BR0015,USD,3125.2,ACTIVE,2024-09-11
1001655715,CIF000022,SB001,BR0001,USD,42192.9,ACTIVE,2022-08-09
1005011370,CIF000023,SB001,BR0002,USD,19465.54,ACTIVE,2023-06-30
1003803818,CIF000024,SB001,BR0019,USD,8228.54,ACTIVE,2024-01-17
1007954552,CIF000025,SB001,BR0020,USD,15262.61,ACTIVE,2024-12-25
1002830594,CIF000026,SB001,BR0018,USD,686.71,ACTIVE,2023-08-08
1003394360,CIF000027,SB001,BR0013,USD,14021.64,ACTIVE,2023-01-27
1009208279,CIF000028,SB001,BR0012,USD,40106.49,ACTIVE,2024-06-14
1001373138,CIF000029,SB001,BR0013,USD,8516.51,ACTIVE,2024-02-11
1005149696,CIF000030,SB001,BR0019,USD,41145.87,ACTIVE,2024-07-16
1009417630,CIF000031,SB001,BR0014,USD,48565.8,ACTIVE,2024-07-31
1004053942,CIF000032,SB001,BR0020,USD,39732.62,ACTIVE,2024-03-30
1005785663,CIF000033,SB001,BR0013,USD,35866.93,ACTIVE,2023-04-06
1004752080,CIF000034,SB001,BR0008,USD,46000.24,ACTIVE,2023-06-17
1006892133,CIF000035,SB001,BR0005,USD,23241.08,ACTIVE,2022-03-06
1009929468,CIF000036,SB001,BR0003,USD,14678.87,ACTIVE,2022-06-12
1008839332,CIF000037,SB001,BR0018,USD,10519.0,ACTIVE,2022-03-14
1002783052,CIF000038,SB001,BR0019,USD,32492.53,ACTIVE,2022-08-10
1009927460,CIF000039,SB001,BR0004,USD,19161.41,ACTIVE,2022-07-10
1002611890,CIF000040,SB001,BR0017,USD,48303.2,ACTIVE,2023-08-27
1004214856,CIF000041,SB001,BR0015,USD,32324.11,ACTIVE,2023-05-26
1007181757,CIF000042,SB001,BR0006,USD,13117.98,ACTIVE,2023-09-02
1007757411,CIF000043,SB001,BR0018,USD,18538.47,ACTIVE,2024-01-21
1008510508,CIF000044,SB001,BR0009,USD,47730.47,ACTIVE,2024-09-19
1002721893,CIF000045,SB001,BR0001,USD,4042.95,ACTIVE,2024-05-22
1001483331,CIF000046,SB001,BR0002,USD,30144.27,ACTIVE,2022-06-08
1009599472,CIF000047,SB001,BR0014,USD,21289.49,ACTIVE,2022-02-11
