ACCT-NUM,CUST-ID,ACCT-TYPE,ACCT-OPEN-DT,ACCT-CURR-BAL,ACCT-STAT
800000000001,100000001,SAV,20100115,0005420.50,A
800000000002,100000001,CHK,20100115,0001250.00,A
800000000003,100000002,SAV,20150620,0012500.75,A
800000000004,100000003,SAV,19981105,0000050.00,D
800000000005,100000004,CHK,20180310,0003200.25,A
800000000006,100000004,MMK,20190501,0025000.00,A
800000000007,100000005,SAV,20200815,0000500.00,A
800000000008,100000006,CHK,20050930,0008750.40,A
800000000009,100000007,SAV,20010412,0000000.00,F
800000000010,100000008,SAV,20120719,0045000.00,A
800000000011,100000008,CHK,20120719,0002100.80,A
800000000012,100000009,CD ,20160228,0010000.00,A
800000000013,100000010,SAV,19951010,0000100.00,D
800000000014,100000011,CHK,20210105,0001500.50,A
800000000015,100000012,SAV,20081122,0009800.25,A
