transaction_id,account_number,transaction_date,transaction_type,amount,debit_credit,balance_after,channel,remarks,status
TXN000000000005,ACC000000001425,2025-08-01 02:04:41,WITHDRAWAL,9226.96,DR,16601.2,ONLINE,Transaction 5,SUCCESS
TXN000000000016,ACC000000000721,2025-05-02 02:04:41,WITHDRAWAL,5487.59,DR,5895.16,BRANCH,Transaction 16,SUCCESS
TXN000000000022,ACC000000000684,2025-02-26 02:04:41,WITHDRAWAL,4559.18,DR,22812.0,POS,Transaction 22,SUCCESS
TXN000000000030,ACC000000001347,2025-12-11 02:04:41,WITHDRAWAL,2794.3,CR,35564.66,ATM,Transaction 30,SUCCESS
TXN000000000034,ACC000000000400,2025-01-23 02:04:41,WITHDRAWAL,5475.84,DR,4887.5,ATM,Transaction 34,SUCCESS
TXN000000000042,ACC000000000421,2025-07-14 02:04:41,WITHDRAWAL,9535.48,DR,27148.39,ONLINE,Transaction 42,FAILED
TXN000000000046,ACC000000000579,2025-03-31 02:04:41,WITHDRAWAL,50.82,DR,7402.67,ONLINE,Transaction 46,SUCCESS
TXN000000000049,ACC000000000477,2025-09-30 02:04:41,WITHDRAWAL,2726.2,DR,6709.99,ONLINE,Transaction 49,SUCCESS
TXN000000000058,ACC000000001443,2025-07-25 02:04:41,WITHDRAWAL,6949.96,DR,14388.39,MOBILE,Transaction 58,FAILED
TXN000000000059,ACC000000001228,2025-09-09 02:04:41,WITHDRAWAL,919.47,CR,17584.57,ATM,Transaction 59,SUCCESS
TXN000000000065,ACC000000001401,2025-02-01 02:04:41,WITHDRAWAL,1298.16,CR,37424.02,MOBILE,Transaction 65,FAILED
TXN000000000074,ACC000000000931,2025-04-01 02:04:41,WITHDRAWAL,6897.9,DR,24739.54,MOBILE,Transaction 74,SUCCESS
TXN000000000084,ACC000000000116,2025-05-24 02:04:41,WITHDRAWAL,31.65,CR,12088.38,ONLINE,Transaction 84,SUCCESS
TXN000000000088,ACC000000001492,2025-01-23 02:04:41,WITHDRAWAL,2022.25,DR,32011.42,ATM,Transaction 88,SUCCESS
TXN000000000094,ACC000000000231,2025-08-15 02:04:41,WITHDRAWAL,3371.69,DR,34078.92,MOBILE,Transaction 94,SUCCESS
TXN000000000110,ACC000000000544,2025-09-01 02:04:41,WITHDRAWAL,5479.4,DR,25843.45,BRANCH,Transaction 110,SUCCESS
TXN000000000111,ACC000000000455,2025-08-23 02:04:41,WITHDRAWAL,6728.47,DR,3024.1,BRANCH,Transaction 111,FAILED
TXN000000000112,ACC000000000306,2025-10-24 02:04:41,WITHDRAWAL,6524.63,CR,9126.48,ONLINE,Transaction 112,SUCCESS
TXN000000000116,ACC000000001118,2025-05-09 02:04:41,WITHDRAWAL,9144.41,CR,37285.22,ONLINE,Transaction 116,SUCCESS
TXN000000000120,ACC000000000338,2025-03-09 02:04:41,WITHDRAWAL,6910.33,CR,36540.52,ONLINE,Transaction 120,FAILED
TXN000000000125,ACC000000001340,2025-07-09 02:04:41,WITHDRAWAL,6244.27,DR,25471.23,ONLINE,Transaction 125,SUCCESS
TXN000000000130,ACC000000000407,2025-03-07 02:04:41,WITHDRAWAL,5581.11,DR,3558.84,BRANCH,Transaction 130,PENDING
TXN000000000133,ACC000000001090,2025-08-06 02:04:41,WITHDRAWAL,2561.54,DR,12684.4,BRANCH,Transaction 133,SUCCESS
TXN000000000137,ACC000000001277,2025-03-04 02:04:41,WITHDRAWAL,7889.33,CR,49896.34,MOBILE,Transaction 137,FAILED
TXN000000000138,ACC000000001251,2025-12-08 02:04:41,WITHDRAWAL,8809.48,DR,28652.91,BRANCH,Transaction 138,PENDING
TXN000000000139,ACC000000000705,2025-05-07 02:04:41,WITHDRAWAL,6171.75,CR,24167.42,MOBILE,Transaction 139,SUCCESS
TXN000000000149,ACC000000000078,2025-12-20 02:04:41,WITHDRAWAL,2399.57,CR,44681.58,ATM,Transaction 149,SUCCESS
TXN000000000154,ACC000000001034,2025-05-10 02:04:41,WITHDRAWAL,6315.4,DR,25969.96,BRANCH,Transaction 154,PENDING
TXN000000000156,ACC000000000654,2025-05-18 02:04:41,WITHDRAWAL,6832.14,DR,43536.15,ONLINE,Transaction 156,PENDING
TXN000000000158,ACC000000000522,2025-07-22 02:04:41,WITHDRAWAL,4884.86,CR,32000.01,ATM,Transaction 158,PENDING
TXN000000000162,ACC000000000651,2025-02-04 02:04:41,WITHDRAWAL,4451.01,CR,21234.5,ONLINE,Transaction 162,SUCCESS
TXN000000000185,ACC000000000167,2025-02-17 02:04:41,WITHDRAWAL,8466.12,DR,34499.5,MOBILE,Transaction 185,SUCCESS
TXN000000000193,ACC000000000927,2025-10-27 02:04:41,WITHDRAWAL,5379.09,DR,202.0,ATM,Transaction 193,SUCCESS
TXN000000000195,ACC000000001401,2025-02-16 02:04:41,WITHDRAWAL,8631.76,CR,25050.33,MOBILE,Transaction 195,SUCCESS
TXN000000000197,ACC000000001489,2025-03-27 02:04:41,WITHDRAWAL,3504.98,DR,23452.59,BRANCH,Transaction 197,SUCCESS
TXN000000000199,ACC000000001159,2025-06-04 02:04:41,WITHDRAWAL,8754.52,CR,27870.98,BRANCH,Transaction 199,SUCCESS
TXN000000000224,ACC000000000024,2025-04-29 02:04:41,WITHDRAWAL,7880.64,DR,33593.17,POS,Transaction 224,SUCCESS
TXN000000000230,ACC000000000832,2025-10-26 02:04:41,WITHDRAWAL,8900.34,DR,4206.56,BRANCH,Transaction 230,FAILED
TXN000000000248,ACC000000000965,2025-04-23 02:04:41,WITHDRAWAL,4365.43,DR,49632.02,BRANCH,Transaction 248,PENDING
TXN000000000250,ACC000000000159,2025-09-06 02:04:41,WITHDRAWAL,3494.85,DR,28519.58,ATM,Transaction 250,FAILED
TXN000000000277,ACC000000000982,2025-02-18 02:04:41,WITHDRAWAL,8610.18,CR,18211.22,ONLINE,Transaction 277,SUCCESS
TXN000000000279,ACC000000001485,2025-04-30 02:04:41,WITHDRAWAL,569.38,CR,3428.2,MOBILE,Transaction 279,SUCCESS
TXN000000000281,ACC000000001432,2025-02-13 02:04:41,WITHDRAWAL,7691.6,CR,5160.49,BRANCH,Transaction 281,SUCCESS
TXN000000000282,ACC000000000295,2025-03-29 02:04:41,WITHDRAWAL,1665.39,DR,48140.77,MOBILE,Transaction 282,SUCCESS
TXN000000000291,ACC000000000910,2025-11-21 02:04:41,WITHDRAWAL,3818.7,CR,2057.9,MOBILE,Transaction 291,SUCCESS
TXN000000000299,ACC000000001173,2025-06-18 02:04:41,WITHDRAWAL,7875.29,DR,47526.73,MOBILE,Transaction 299,SUCCESS
TXN000000000300,ACC000000000198,2025-07-03 02:04:41,WITHDRAWAL,5650.52,CR,19937.99,ATM,Transaction 300,SUCCESS
TXN000000000307,ACC000000000821,2025-02-22 02:04:41,WITHDRAWAL,9817.95,DR,34859.69,BRANCH,Transaction 307,SUCCESS
TXN000000000320,ACC000000000433,2025-09-09 02:04:41,WITHDRAWAL,9567.02,CR,25736.97,BRANCH,Transaction 320,SUCCESS
TXN000000000326,ACC000000001129,2025-04-05 02:04:41,WITHDRAWAL,7028.35,CR,14112.59,ONLINE,Transaction 326,SUCCESS
TXN000000000332,ACC000000000439,2025-08-09 02:04:41,WITHDRAWAL,7108.99,DR,45239.3,BRANCH,Transaction 332,FAILED
TXN000000000336,ACC000000000843,2025-07-31 02:04:41,WITHDRAWAL,731.95,DR,47890.44,ATM,Transaction 336,SUCCESS
TXN000000000337,ACC000000000667,2025-12-20 02:04:41,WITHDRAWAL,3361.26,CR,40312.25,ONLINE,Transaction 337,PENDING
