CardID,CustomerID,CardNumber,CardType,CardNetwork,IssueDate,ExpiryDate,CVVCheck,CreditLimit,AvailableCredit,CurrentOutstanding,BillingCycleDate,CardStatus,RewardPoints
CC000001,CUST00001,0874-9507-5711-7461,Gold,Visa,2021-07-16,2028-11-25,Pass,20000,1095.46,4228.52,25,Active,4185
CC000002,CUST00002,3255-7445-6761-4146,Infinite,Visa,2023-04-17,2028-05-15,Fail,1000,4412.55,142.01,18,Blocked,2672
CC000003,CUST00003,5839-4080-4102-1454,Standard,Visa,2021-02-18,2028-10-25,Fail,1000,9626.67,3355.65,6,Expired,669
CC000004,CUST00004,1004-1213-0765-3055,Platinum,Amex,2022-11-30,2025-11-26,Pass,20000,4476.53,1216.56,6,Blocked,885
CC000005,CUST00005,1785-6549-4153-3691,Standard,MasterCard,2023-03-16,2027-03-16,Pass,10000,5915.39,3274.31,3,Expired,1511
CC000006,CUST00006,3444-6878-4245-0613,Infinite,Visa,2022-02-24,2028-02-22,Fail,5000,8733.24,2760.38,22,Expired,2295
CC000007,CUST00007,3129-0017-2945-6634,Infinite,Amex,2022-11-27,2028-12-26,Fail,10000,1286.97,4649.51,16,Expired,4031
CC000008,CUST00008,5001-2880-2210-6167,Gold,Amex,2023-08-10,2026-08-25,Fail,20000,4083.63,3703.92,19,Expired,2111
CC000009,CUST00009,9345-5160-2548-4104,Platinum,Visa,2021-10-04,2027-08-15,Fail,20000,5313.36,606.6,2,Expired,4163
CC000010,CUST00010,2061-1091-4033-8483,Infinite,Visa,2022-08-02,2025-11-02,Fail,20000,3423.41,246.32,5,Expired,1023
CC000011,CUST00011,9864-8127-3494-7125,Platinum,Visa,2021-01-07,2028-01-09,Fail,1000,114.45,4598.65,9,Expired,1681
CC000012,CUST00012,9728-6640-7383-5144,Infinite,Visa,2022-04-14,2026-03-31,Pass,1000,4746.89,1679.35,3,Active,38
CC000013,CUST00013,7838-2982-1543-1388,Standard,Visa,2022-05-07,2026-09-15,Fail,1000,4623.26,2412.29,7,Active,1587
CC000014,CUST00014,7264-9916-5835-3859,Gold,Visa,2022-02-12,2025-11-21,Pass,1000,6235.12,1680.71,21,Active,3134
CC000015,CUST00015,1901-6938-2784-1606,Platinum,Amex,2023-02-03,2026-11-01,Fail,10000,2231.88,3096.11,16,Active,285
CC000016,CUST00016,6767-6322-0851-6435,Standard,MasterCard,2022-01-01,2026-05-25,Fail,20000,7914.62,597.81,10,Blocked,3944
CC000017,CUST00017,6470-5865-8851-6808,Platinum,Visa,2023-03-01,2028-08-03,Fail,1000,7497.6,1274.01,6,Active,2772
CC000018,CUST00018,1590-9578-8913-0295,Standard,MasterCard,2023-10-24,2026-02-22,Fail,20000,3069.88,1260.87,4,Blocked,3054
CC000019,CUST00019,6707-1706-4754-3063,Gold,Visa,2022-04-03,2028-04-12,Pass,5000,4883.59,4755.7,20,Expired,1287
CC000020,CUST00020,2137-5177-4037-7526,Gold,Amex,2023-12-18,2028-04-13,Pass,1000,6684.37,3723.67,25,Blocked,1703
CC000021,CUST00021,9656-5571-6497-4983,Platinum,Amex,2022-04-07,2026-04-14,Fail,20000,7747.56,4256.2,14,Active,3092
CC000022,CUST00022,1167-9631-9424-1527,Platinum,MasterCard,2022-09-04,2028-01-28,Pass,20000,9283.69,2776.7,27,Active,1309
CC000023,CUST00023,6369-0337-4540-7217,Gold,MasterCard,2023-08-17,2025-01-23,Fail,5000,8127.38,4905.77,11,Expired,1492
CC000024,CUST00024,8507-4391-1392-4625,Standard,Visa,2022-05-09,2026-06-04,Pass,1000,6179.54,3758.08,15,Expired,3624
CC000025,CUST00025,8398-5925-7411-4738,Gold,MasterCard,2022-11-17,2026-12-20,Fail,5000,9429.83,3318.74,23,Active,3407
CC000026,CUST00026,2660-1818-8246-4662,Gold,Visa,2021-11-13,2025-03-18,Pass,10000,6006.87,3204.32,18,Active,937
CC000027,CUST00027,3274-7201-5834-2276,Infinite,Visa,2021-05-03,2025-02-04,Fail,10000,8998.47,2299.83,10,Expired,1536
CC000028,CUST00028,0192-6681-3533-0567,Platinum,Visa,2021-01-20,2025-10-20,Fail,20000,678.41,2522.85,15,Expired,1449
CC000029,CUST00029,2164-7863-1301-9952,Platinum,Visa,2022-09-30,2027-01-18,Fail,5000,9359.0,4980.5,17,Blocked,1706
CC000030,CUST00030,9788-5751-6708-2989,Gold,MasterCard,2022-08-27,2027-09-09,Fail,20000,116.49,4061.0,28,Expired,913
CC000031,CUST00031,1916-5819-1659-0103,Standard,Amex,2023-12-27,2028-03-06,Fail,20000,104.83,1650.38,11,Blocked,1482
CC000032,CUST00032,6227-2675-0211-8901,Platinum,Amex,2023-04-26,2026-02-14,Pass,20000,9528.69,2661.39,1,Active,2195
CC000033,CUST00033,7816-2106-7455-8497,Infinite,MasterCard,2023-10-09,2028-08-18,Fail,20000,7923.19,1405.46,2,Expired,3641
CC000034,CUST00034,8685-8489-2520-7197,Platinum,Visa,2023-05-27,2025-01-15,Pass,10000,5172.22,4650.39,22,Blocked,3394
CC000035,CUST00035,2886-6404-2375-1552,Infinite,Visa,2022-09-28,2027-02-01,Pass,10000,3773.1,2400.43,19,Expired,1694
CC000036,CUST00036,4767-0835-4487-5275,Gold,Visa,2023-07-29,2026-11-08,Fail,1000,265.48,2482.93,21,Active,1357
CC000037,CUST00037,8608-4287-0779-1216,Standard,Visa,2022-09-26,2027-11-11,Fail,5000,5696.3,4583.22,21,Active,2267
CC000038,CUST00038,8561-8895-1655-8237,Infinite,Amex,2023-01-27,2028-11-21,Fail,1000,3268.44,4208.91,5,Expired,423
CC000039,CUST00039,3810-8047-1505-1033,Standard,MasterCard,2023-08-16,2028-02-12,Pass,10000,5304.85,4114.43,15,Active,3938
CC000040,CUST00040,0505-0946-6924-0793,Infinite,MasterCard,2023-09-26,2028-08-16,Fail,20000,1736.17,1372.8,16,Blocked,3287
