card_number,customer_id,card_type,credit_limit,expiry_date
4501-8243-3202-6479,CUST00002,Silver,50000,01/27
4290-3685-7618-9855,CUST00004,Silver,500000,04/29
4873-5437-2131-6810,CUST00005,Platinum,200000,09/29
4905-6642-1810-4677,CUST00006,Gold,200000,10/27
4611-8033-3149-4414,CUST00007,Silver,200000,06/29
4463-8852-7598-1476,CUST00009,Silver,500000,06/28
4250-4884-9503-1494,CUST00010,Gold,100000,03/27
4224-3521-5199-3585,CUST00015,Gold,100000,04/28
4252-3780-9386-7127,CUST00017,Signature,200000,04/27
4311-5433-2022-4656,CUST00018,Gold,100000,10/29
4875-5669-2449-5423,CUST00021,Silver,100000,10/29
4584-4922-7567-8152,CUST00022,Gold,50000,11/29
4722-8579-4009-2364,CUST00023,Gold,100000,05/28
4087-2955-2678-9904,CUST00024,Gold,100000,11/27
4396-5516-1309-5025,CUST00025,Silver,50000,02/27
4508-5770-9260-1482,CUST00026,Signature,100000,04/28
4416-1927-6724-6969,CUST00028,Gold,500000,08/27
4627-8068-1762-5326,CUST00029,Gold,100000,01/30
4845-4246-3868-7778,CUST00030,Platinum,200000,08/29
4687-4672-2191-5527,CUST00032,Gold,200000,04/28
4815-9562-5823-5970,CUST00033,Silver,200000,05/27
4739-2540-7339-7117,CUST00034,Silver,100000,08/28
4750-4406-7517-8901,CUST00035,Silver,50000,01/29
4478-7848-4382-7882,CUST00037,Gold,100000,12/28
4726-7143-1975-2363,CUST00038,Gold,100000,01/27
4745-7841-4463-5203,CUST00042,Platinum,200000,03/27
4096-8651-9477-7874,CUST00044,Silver,50000,06/28
4596-8582-2609-5027,CUST00045,Platinum,200000,05/29
4222-9273-4908-8378,CUST00046,Silver,200000,05/28
4085-8280-2268-1779,CUST00048,Signature,100000,04/28
4703-5485-9967-6233,CUST00049,Gold,200000,12/28
