customer_id,first_name,last_name,dob,risk_score,kyc_status
CUST00001,FirstName1,LastName1,1968-05-10,809,Rejected
CUST00002,FirstName2,LastName2,1979-03-26,614,Rejected
CUST00003,FirstName3,LastName3,1999-04-06,368,Verified
CUST00004,FirstName4,LastName4,2001-03-31,362,Rejected
CUST00005,FirstName5,LastName5,1996-04-07,341,Verified
CUST00006,FirstName6,LastName6,1988-01-05,687,Verified
CUST00007,FirstName7,LastName7,1975-05-03,388,Pending
CUST00008,FirstName8,LastName8,1957-08-23,320,Verified
CUST00009,FirstName9,LastName9,1961-12-23,666,Rejected
CUST00010,FirstName10,LastName10,1962-09-14,634,Verified
CUST00011,FirstName11,LastName11,1957-12-03,382,Pending
CUST00012,FirstName12,LastName12,1959-11-23,521,Pending
CUST00013,FirstName13,LastName13,1999-01-18,476,Verified
CUST00014,FirstName14,LastName14,1981-12-04,443,Rejected
CUST00015,FirstName15,LastName15,1999-11-08,706,Verified
CUST00016,FirstName16,LastName16,1965-06-20,439,Verified
CUST00017,FirstName17,LastName17,1969-01-18,327,Rejected
CUST00018,FirstName18,LastName18,2000-10-29,840,Verified
CUST00019,FirstName19,LastName19,2004-01-20,583,Rejected
CUST00020,FirstName20,LastName20,1997-05-20,446,Pending
CUST00021,FirstName21,LastName21,1970-05-17,609,Verified
CUST00022,FirstName22,LastName22,1973-06-04,889,Pending
CUST00023,FirstName23,LastName23,1988-02-05,634,Pending
CUST00024,FirstName24,LastName24,1960-09-28,586,Pending
CUST00025,FirstName25,LastName25,1969-08-06,782,Verified
CUST00026,FirstName26,LastName26,1963-07-15,776,Verified
CUST00027,FirstName27,LastName27,1964-07-30,586,Rejected
CUST00028,FirstName28,LastName28,1997-05-29,371,Rejected
CUST00029,FirstName29,LastName29,1990-06-20,893,Verified
CUST00030,FirstName30,LastName30,1972-10-10,626,Pending
CUST00031,FirstName31,LastName31,1963-03-10,372,Pending
CUST00032,FirstName32,LastName32,1971-04-09,491,Rejected
CUST00033,FirstName33,LastName33,2003-10-20,394,Pending
CUST00034,FirstName34,LastName34,1978-12-16,383,Pending
CUST00035,FirstName35,LastName35,1997-07-20,738,Rejected
CUST00036,FirstName36,LastName36,1982-10-11,336,Pending
CUST00037,FirstName37,LastName37,1963-09-17,490,Rejected
CUST00038,FirstName38,LastName38,1994-04-03,430,Rejected
CUST00039,FirstName39,LastName39,1958-05-20,368,Pending
CUST00040,FirstName40,LastName40,1984-01-02,443,Rejected
CUST00041,FirstName41,LastName41,1995-03-03,507,Pending
CUST00042,FirstName42,LastName42,1999-12-09,569,Pending
CUST00043,FirstName43,LastName43,2005-02-04,845,Verified
CUST00044,FirstName44,LastName44,1998-02-16,809,Rejected
CUST00045,FirstName45,LastName45,1962-02-17,898,Verified
CUST00046,FirstName46,LastName46,1984-05-09,869,Pending
CUST00047,FirstName47,LastName47,1974-11-13,685,Rejected
CUST00048,FirstName48,LastName48,1984-10-26,611,Verified
CUST00049,FirstName49,LastName49,1960-01-05,876,Pending
CUST00050,FirstName50,LastName50,1960-02-03,864,Pending
