CUST-ID,CUST-FNAME,CUST-LNAME,CUST-DOB,CUST-ADDR-CITY,CUST-KYC-STAT
100000001,JOHN,SMITH,19650412,CHICAGO,A
100000002,MARIA,GARCIA,19780923,NEW YORK,A
100000003,ROBERT,JOHNSON,19551201,HOUSTON,I
100000004,SARAH,WILLIAMS,19820315,PHOENIX,A
100000005,MICHAEL,BROWN,19900704,PHILADELPHIA,A
100000006,JENNIFER,JONES,19711130,SAN ANTONIO,A
100000007,WILLIAM,DAVIS,19600518,SAN DIEGO,S
100000008,ELIZABETH,MILLER,19850822,DALLAS,A
100000009,DAVID,WILSON,19750110,SAN JOSE,A
100000010,LINDA,MOORE,19680625,AUSTIN,I
100000011,RICHARD,TAYLOR,19950214,JACKSONVILLE,A
100000012,PATRICIA,ANDERSON,19801005,FORT WORTH,A
100000013,JOSEPH,THOMAS,19500330,COLUMBUS,A
100000014,SUSAN,JACKSON,19881212,CHARLOTTE,P
100000015,CHARLES,WHITE,19730401,SAN FRANCISCO,A
