customer_id,full_name,dob,address_line1,city,contact_no,kyc_status
CIF000001,Customer Name 1,1993-06-27,Apt 64 Block B,Dubai,8767620476,Y
CIF000002,Customer Name 2,1976-12-29,Apt 71 Block B,New York,8322840862,Y
CIF000003,Customer Name 3,1973-05-31,Apt 75 Block C,Mumbai,9872050900,Y
CIF000004,Customer Name 4,1975-12-16,Apt 32 Block C,London,8931482794,Y
CIF000005,Customer Name 5,1992-03-05,Apt 34 Block A,Dubai,7329837642,Y
CIF000006,Customer Name 6,1987-01-08,Apt 95 Block A,Mumbai,8591271673,Y
CIF000007,Customer Name 7,1971-11-22,Apt 48 Block A,New York,9084587827,Y
CIF000008,Customer Name 8,1992-01-31,Apt 100 Block C,Dubai,7659599154,Y
CIF000009,Customer Name 9,1975-03-30,Apt 8 Block B,London,9675738819,Y
CIF000010,Customer Name 10,1971-08-19,Apt 5 Block B,Mumbai,9658108338,Y
CIF000011,Customer Name 11,1985-01-20,Apt 28 Block A,London,9702913557,Y
CIF000012,Customer Name 12,1982-04-01,Apt 44 Block B,Singapore,8070057528,Y
CIF000013,Customer Name 13,1997-08-11,Apt 88 Block A,Mumbai,9415152630,Y
CIF000014,Customer Name 14,1981-12-09,Apt 32 Block C,Singapore,7058682944,Y
CIF000015,Customer Name 15,1971-12-17,Apt 24 Block B,New York,9511228500,Y
CIF000016,Customer Name 16,1989-06-05,Apt 17 Block C,London,9807497473,Y
CIF000017,Customer Name 17,1970-06-17,Apt 2 Block C,Singapore,7829987883,Y
CIF000018,Customer Name 18,1984-05-29,Apt 63 Block A,Dubai,9181814224,Y
CIF000019,Customer Name 19,1977-09-14,Apt 28 Block A,New York,7753904336,Y
CIF000020,Customer Name 20,1970-01-24,Apt 7 Block B,London,7914066009,Y
CIF000021,Customer Name 21,1973-10-22,Apt 12 Block A,New York,9886511049,Y
CIF000022,Customer Name 22,1976-09-10,Apt 27 Block A,Singapore,9587502109,Y
CIF000023,Customer Name 23,1989-01-01,Apt 15 Block B,London,9415952833,Y
