TRANS-ID,ACCT-NUM,TRANS-CODE,TRANS-AMT,TRANS-DATE,TRANS-DESC
90000001,800000000001,CR,0000500.00,20231001,PAYROLL DEP
90000002,800000000002,DR,0000050.00,20231002,ATM W/D
90000003,800000000001,DR,0000100.00,20231003,UTIL BILL
90000004,800000000003,CR,0002000.00,20231001,WIRE XFER
90000005,800000000005,DR,0000045.50,20231004,POS PURCH
90000006,800000000005,DR,0000012.00,20231004,SRVC CHG
90000007,800000000006,CR,0000150.00,20231005,DIVIDEND
90000008,800000000008,DR,0000200.00,20231005,CHECK CLR
90000009,800000000010,CR,0001000.00,20231006,CASH DEP
90000010,800000000011,DR,0000080.00,20231007,ATM W/D
90000011,800000000012,CR,0000025.00,20231008,INT POST
90000012,800000000014,CR,0000300.00,20231009,ZELLE REC
90000013,800000000015,DR,0000120.00,20231010,AUTO INS
90000014,800000000001,CR,0000500.00,20231015,PAYROLL DEP
90000015,800000000002,DR,0000060.00,20231016,GROCERIES
